cidade,aids
250077 Aparecida,1
250080 Araçagi,3
250090 Arara,4
250100 Araruna,7
250110 Areia,6
250120 Areial,3
250130 Aroeiras,5
250135 Assunção,1
250140 Baía da Traição,10
250150 Bananeiras,7
250153 Baraúna,1
250160 Barra de Santa Rosa,6
250157 Barra de Santana,3
250170 Barra de São Miguel,2
250180 Bayeux,124
250190 Belém,7
250200 Belém do Brejo do Cruz,5
250220 Bom Jesus,2
250230 Bom Sucesso,2
250240 Bonito de Santa Fé,11
250250 Boqueirão,8
250280 Brejo do Cruz,8
250290 Brejo dos Santos,1
250300 Caaporã,16
250320 Cabedelo,84
250330 Cachoeira dos Índios,2
250340 Cacimba de Areia,2
250350 Cacimba de Dentro,1
250355 Cacimbas,1
250370 Cajazeiras,16
250400 Campina Grande,258
251640 Campo de Santana,4
250403 Capim,1
250415 Casserengue,1
250420 Catingueira,2
250430 Catolé do Rocha,4
250435 Caturité,4
250440 Conceição,15
250450 Condado,1
250460 Conde,27
250490 Cruz do Espírito Santo,24
250500 Cubati,3
250510 Cuité,7
250520 Cuitegi,5
250527 Curral de Cima,1
250540 Desterro,1
250560 Diamante,1
250570 Dona Inês,1
250600 Esperança,18
250610 Fagundes,4
250625 Gado Bravo,2
250630 Guarabira,51
250640 Gurinhém,9
250650 Gurjão,1
250670 Imaculada,1
250680 Ingá,6
250690 Itabaiana,13
250700 Itaporanga,3
250710 Itapororoca,18
250720 Itatuba,3
250730 Jacaraú,13
250740 Jericó,3
250750 João Pessoa,1083
250760 Juarez Távora,4
250770 Juazeirinho,6
250780 Junco do Seridó,2
250790 Juripiranga,13
250800 Juru,1
250810 Lagoa,1
250820 Lagoa de Dentro,3
250830 Lagoa Seca,8
250850 Livramento,2
250860 Lucena,15
250870 Mãe d'Água,1
250890 Mamanguape,49
250905 Marcação,4
250910 Mari,17
250915 Marizópolis,10
250920 Massaranduba,3
250930 Mataraca,1
250937 Mato Grosso,2
250939 Maturéia,2
250940 Mogeiro,3
250950 Montadas,1
250960 Monte Horebe,4
250970 Monteiro,14
250980 Mulungu,1
251000 Nazarezinho,1
251010 Nova Floresta,1
251040 Olho d'Água,6
251080 Patos,76
251090 Paulista,3
251100 Pedra Branca,3
251110 Pedra Lavrada,5
251120 Pedras de Fogo,29
251272 Pedro Régis,1
251130 Piancó,4
251140 Picuí,8
251150 Pilar,5
251180 Pirpirituba,3
251190 Pitimbu,19
251200 Pocinhos,3
251210 Pombal,15
251220 Prata,1
251230 Princesa Isabel,2
251240 Puxinanã,2
251250 Queimadas,26
251270 Remígio,14
251275 Riachão do Bacamarte,2
251276 Riachão do Poço,1
251278 Riacho de Santo Antônio,1
251280 Riacho dos Cavalos,1
251290 Rio Tinto,25
251300 Salgadinho,1
251310 Salgado de São Félix,1
251315 Santa Cecília,3
251320 Santa Cruz,2
251330 Santa Helena,1
251340 Santa Luzia,4
251370 Santa Rita,154
251380 Santa Teresinha,2
251360 Santana dos Garrotes,2
251385 Santo André,1
251392 São Bentinho,1
251390 São Bento,12
251394 São Domingos do Cariri,2
251398 São Francisco,1
251400 São João do Cariri,2
250070 São João do Rio do Peixe,1
251420 São José da Lagoa Tapada,3
251440 São José de Espinharas,1
251460 São José do Bonfim,1
251480 São José dos Cordeiros,1
251445 São José dos Ramos,2
251500 São Miguel de Taipu,1
251510 São Sebastião de Lagoa de Roça,3
251530 Sapé,38
251540 Seridó,3
251550 Serra Branca,3
251580 Serra Redonda,4
251597 Sobrado,4
251600 Solânea,7
251610 Soledade,7
251620 Sousa,40
251630 Sumé,7
251650 Taperoá,5
251660 Tavares,4
251670 Teixeira,3
251675 Tenório,1
251680 Triunfo,6
251690 Uiraúna,1
251700 Umbuzeiro,1
251710 Várzea,2
251720 Vieirópolis,1
251740 Zabelê,3
260005 Abreu e Lima,155
260010 Afogados da Ingazeira,12
260020 Afrânio,2
260030 Agrestina,10
260040 Água Preta,25
260050 Águas Belas,15
260060 Alagoinha,3
260070 Aliança,44
260080 Altinho,3
260090 Amaraji,24
260100 Angelim,19
260105 Araçoiaba,15
260110 Araripina,17
260120 Arcoverde,42
260130 Barra de Guabiraba,2
260140 Barreiros,30
260150 Belém de Maria,5
260160 Belém de São Francisco,13
260170 Belo Jardim,35
260180 Betânia,3
260190 Bezerros,28
260200 Bodocó,4
260210 Bom Conselho,4
260220 Bom Jardim,11
260230 Bonito,15
260240 Brejão,6
260250 Brejinho,1
260260 Brejo da Madre de Deus,20
260270 Buenos Aires,10
260280 Buíque,5
260290 Cabo de Santo Agostinho,317
260300 Cabrobó,6
260310 Cachoeirinha,6
260320 Caetés,2
260340 Calumbi,1
260345 Camaragibe,229
260350 Camocim de São Félix,6
260370 Canhotinho,16
260380 Capoeiras,2
260390 Carnaíba,2
260392 Carnaubeira da Penha,2
260400 Carpina,72
260410 Caruaru,374
260415 Casinhas,7
260420 Catende,36
260430 Cedro,3
260440 Chã de Alegria,14
260450 Chã Grande,10
260460 Condado,27
260470 Correntes,9
260480 Cortês,9
260490 Cumaru,7
260500 Cupira,13
260510 Custódia,6
260515 Dormentes,2
260520 Escada,62
260530 Exu,2
260540 Feira Nova,12
260545 Fernando de Noronha,2
260550 Ferreiros,5
260560 Flores,8
260570 Floresta,3
260580 Frei Miguelinho,3
260590 Gameleira,18
260600 Garanhuns,106
260610 Glória do Goitá,5
260620 Goiana,98
260630 Granito,2
260640 Gravatá,59
260650 Iati,3
260660 Ibimirim,3
260680 Igarassu,135
260690 Iguaraci,1
260760 Ilha de Itamaracá,27
260700 Inajá,4
260710 Ingazeira,2
260720 Ipojuca,152
260730 Ipubi,9
260740 Itacuruba,4
260750 Itaíba,6
260765 Itambé,16
260770 Itapetim,7
260775 Itapissuma,35
260780 Itaquitinga,11
260790 Jaboatão dos Guararapes,1105
260795 Jaqueira,4
260800 Jataúba,2
260805 Jatobá,1
260810 João Alfredo,5
260820 Joaquim Nabuco,8
260825 Jucati,3
260830 Jupi,4
260840 Jurema,6
260845 Lagoa do Carro,6
260850 Lagoa do Itaenga,7
260860 Lagoa do Ouro,4
260870 Lagoa dos Gatos,6
260875 Lagoa Grande,5
260880 Lajedo,20
260890 Limoeiro,45
260900 Macaparana,7
260910 Machados,1
260915 Manari,2
260920 Maraial,4
260930 Mirandiba,5
261430 Moreilândia,2
260940 Moreno,52
260950 Nazaré da Mata,38
260960 Olinda,730
260970 Orobó,8
260980 Orocó,2
260990 Ouricuri,23
261000 Palmares,66
261010 Palmeirina,1
261020 Panelas,3
261030 Paranatama,4
261040 Parnamirim,7
261050 Passira,8
261060 Paudalho,24
261070 Paulista,390
261080 Pedra,10
261090 Pesqueira,12
261100 Petrolândia,11
261110 Petrolina,301
261120 Poção,2
261130 Pombos,3
261140 Primavera,12
261150 Quipapá,6
261153 Quixaba,2
261160 Recife,3013
261170 Riacho das Almas,2
261180 Ribeirão,36
261190 Rio Formoso,31
261200 Sairé,3
261210 Salgadinho,2
261220 Salgueiro,23
261230 Saloá,1
261240 Sanharó,8
261245 Santa Cruz,3
261247 Santa Cruz da Baixa Verde,1
261250 Santa Cruz do Capibaribe,53
261260 Santa Maria da Boa Vista,4
261270 Santa Maria do Cambucá,4
261280 Santa Terezinha,1
261290 São Benedito do Sul,2
261300 São Bento do Una,22
261310 São Caitano,24
261320 São João,15
261330 São Joaquim do Monte,10
261340 São José da Coroa Grande,22
261350 São José do Belmonte,9
261360 São José do Egito,2
261370 São Lourenço da Mata,137
261380 São Vicente Ferrer,4
261390 Serra Talhada,31
261400 Serrita,4
261410 Sertânia,11
261420 Sirinhaém,44
261450 Surubim,21
261460 Tabira,8
261470 Tacaimbó,7
261480 Tacaratu,3
261485 Tamandaré,20
261500 Taquaritinga do Norte,21
261520 Terra Nova,1
261530 Timbaúba,24
261540 Toritama,23
261550 Tracunhaém,3
261560 Trindade,31
261570 Triunfo,2
261590 Tuparetama,2
261600 Venturosa,2
261610 Verdejante,5
261618 Vertente do Lério,2
261620 Vertentes,12
261630 Vicência,13
261640 Vitória de Santo Antão,155
261650 Xexéu,10
260000 Município ignorado - PE,7
270020 Anadia,11
270030 Arapiraca,191
270040 Atalaia,18
270050 Barra de Santo Antônio,21
270060 Barra de São Miguel,7
270070 Batalha,2
270080 Belém,2
270090 Belo Monte,1
270100 Boca da Mata,4
270110 Branquinha,3
270120 Cacimbinhas,4
270130 Cajueiro,10
270135 Campestre,4
270140 Campo Alegre,15
270160 Canapi,4
270170 Capela,9
270180 Carneiros,4
270200 Coité do Nóia,10
270210 Colônia Leopoldina,21
270220 Coqueiro Seco,10
270230 Coruripe,38
270235 Craíbas,14
270240 Delmiro Gouveia,26
270250 Dois Riachos,1
270255 Estrela de Alagoas,2
270260 Feira Grande,3
270270 Feliz Deserto,3
270280 Flexeiras,10
270290 Girau do Ponciano,3
270300 Ibateguara,5
270310 Igaci,9
270320 Igreja Nova,2
270330 Inhapi,5
270340 Jacaré dos Homens,1
270350 Jacuípe,7
270360 Japaratinga,5
270370 Jaramataia,1
270375 Jequiá da Praia,8
270380 Joaquim Gomes,11
270390 Jundiá,1
270400 Junqueiro,16
270410 Lagoa da Canoa,1
270420 Limoeiro de Anadia,5
270430 Maceió,1478
270440 Major Isidoro,10
270450 Maragogi,36
270460 Maravilha,1
270470 Marechal Deodoro,56
270480 Maribondo,8
270500 Mata Grande,1
270510 Matriz de Camaragibe,33
270520 Messias,16
270540 Monteirópolis,2
270550 Murici,48
270560 Novo Lino,8
270570 Olho d'Água das Flores,4
270580 Olho d'Água do Casado,3
270590 Olho d'Água Grande,1
270600 Olivença,3
270610 Ouro Branco,7
270620 Palestina,3
270630 Palmeira dos Índios,49
270640 Pão de Açúcar,6
270644 Paripueira,11
270650 Passo de Camaragibe,7
270660 Paulo Jacinto,2
270670 Penedo,16
270680 Piaçabuçu,4
270690 Pilar,31
270700 Pindoba,1
270710 Piranhas,13
270720 Poço das Trincheiras,2
270730 Porto Calvo,34
270740 Porto de Pedras,8
270750 Porto Real do Colégio,7
270760 Quebrangulo,4
270770 Rio Largo,53
270780 Roteiro,3
270790 Santa Luzia do Norte,7
270800 Santana do Ipanema,22
270810 Santana do Mundaú,3
270820 São Brás,1
270830 São José da Laje,9
270840 São José da Tapera,2
270850 São Luís do Quitunde,25
270860 São Miguel dos Campos,44
270870 São Miguel dos Milagres,5
270880 São Sebastião,17
270890 Satuba,13
270895 Senador Rui Palmeira,1
270900 Tanque d'Arca,1
270910 Taquarana,5
270915 Teotônio Vilela,34
270920 Traipu,3
270930 União dos Palmares,48
270940 Viçosa,10
280010 Amparo de São Francisco,2
280020 Aquidabã,10
280030 Aracaju,898
280040 Arauá,5
280050 Areia Branca,12
280060 Barra dos Coqueiros,29
280067 Boquim,10
280070 Brejo Grande,4
280100 Campo do Brito,11
280120 Canindé de São Francisco,23
280130 Capela,26
280140 Carira,9
280150 Carmópolis,15
280160 Cedro de São João,11
280170 Cristinápolis,12
280190 Cumbe,3
280200 Divina Pastora,2
280210 Estância,53
280220 Feira Nova,2
280230 Frei Paulo,1
280240 Gararu,1
280250 General Maynard,3
280260 Gracho Cardoso,2
280270 Ilha das Flores,4
280280 Indiaroba,1
280290 Itabaiana,68
280300 Itabaianinha,19
280320 Itaporanga d'Ajuda,14
280330 Japaratuba,15
280340 Japoatã,3
280350 Lagarto,47
280360 Laranjeiras,18
280370 Macambira,2
280380 Malhada dos Bois,5
280390 Malhador,6
280400 Maruim,7
280410 Moita Bonita,5
280420 Monte Alegre de Sergipe,9
280430 Muribeca,5
280440 Neópolis,9
280445 Nossa Senhora Aparecida,1
280450 Nossa Senhora da Glória,28
280460 Nossa Senhora das Dores,18
280480 Nossa Senhora do Socorro,198
280490 Pacatuba,2
280500 Pedra Mole,2
280510 Pedrinhas,2
280520 Pinhão,1
280530 Pirambu,3
280540 Poço Redondo,14
280550 Poço Verde,6
280560 Porto da Folha,6
280570 Propriá,39
280580 Riachão do Dantas,7
280590 Riachuelo,2
280600 Ribeirópolis,3
280620 Salgado,7
280630 Santa Luzia do Itanhy,9
280650 Santa Rosa de Lima,1
280640 Santana do São Francisco,3
280660 Santo Amaro das Brotas,5
280670 São Cristóvão,88
280680 São Domingos,4
280690 São Francisco,7
280700 São Miguel do Aleixo,1
280710 Simão Dias,20
280730 Telha,3
280740 Tobias Barreto,19
280750 Tomar do Geru,5
280760 Umbaúba,30
290020 Abaré,1
290030 Acajutiba,4
290035 Adustina,1
290040 Água Fria,1
290060 Aiquara,3
290070 Alagoinhas,89
290080 Alcobaça,23
290090 Almadina,1
290100 Amargosa,12
290110 Amélia Rodrigues,16
290115 América Dourada,7
290120 Anagé,2
290130 Andaraí,2
290135 Andorinha,1
290140 Angical,4
290150 Anguera,1
290170 Antônio Cardoso,3
290180 Antônio Gonçalves,2
290190 Aporá,5
290195 Apuarema,5
290205 Araças,8
290200 Aracatu,2
290210 Araci,24
290220 Aramari,3
290225 Arataca,9
290230 Aratuípe,4
290240 Aurelino Leal,3
290260 Baixa Grande,1
290265 Banzaê,2
290270 Barra,6
290280 Barra da Estiva,8
290290 Barra do Choça,3
290310 Barra do Rocha,3
290320 Barreiras,186
290330 Barro Preto,1
290327 Barrocas,5
290340 Belmonte,30
290350 Belo Campo,2
290360 Biritinga,4
290370 Boa Nova,1
290380 Boa Vista do Tupim,3
290390 Bom Jesus da Lapa,18
290395 Bom Jesus da Serra,1
290400 Boninal,1
290405 Bonito,4
290410 Boquira,2
290430 Brejões,4
290440 Brejolândia,1
290450 Brotas de Macaúbas,2
290460 Brumado,23
290470 Buerarema,15
290475 Buritirama,1
290480 Caatiba,2
290485 Cabaceiras do Paraguaçu,6
290490 Cachoeira,14
290500 Caculé,2
290520 Caetité,3
290530 Cafarnaum,1
290540 Cairu,10
290550 Caldeirão Grande,4
290560 Camacan,33
290570 Camaçari,242
290580 Camamu,6
290590 Campo Alegre de Lourdes,4
290600 Campo Formoso,14
290610 Canápolis,1
290620 Canarana,2
290630 Canavieiras,23
290650 Candeias,64
290670 Cândido Sales,7
290680 Cansanção,5
290682 Canudos,1
290685 Capela do Alto Alegre,1
290687 Capim Grosso,9
290689 Caraíbas,1
290690 Caravelas,9
290700 Cardeal da Silva,2
290710 Carinhanha,3
290720 Casa Nova,24
290730 Castro Alves,10
290750 Catu,10
290760 Central,2
290770 Chorrochó,2
290780 Cícero Dantas,5
290790 Cipó,4
290800 Coaraci,4
290810 Cocos,1
290820 Conceição da Feira,4
290830 Conceição do Almeida,8
290840 Conceição do Coité,18
290850 Conceição do Jacuípe,22
290860 Conde,11
290870 Condeúba,2
290880 Contendas do Sincorá,1
290890 Coração de Maria,13
290910 Coribe,1
290920 Coronel João Sá,3
290930 Correntina,11
290940 Cotegipe,2
290960 Crisópolis,4
290970 Cristópolis,2
290980 Cruz das Almas,26
290990 Curaçá,10
291000 Dário Meira,1
291005 Dias d'Ávila,62
291020 Dom Macedo Costa,1
291030 Elísio Medrado,3
291040 Encruzilhada,1
291050 Entre Rios,19
291060 Esplanada,7
291070 Euclides da Cunha,14
291072 Eunápolis,144
291075 Fátima,2
291080 Feira de Santana,583
291085 Filadélfia,4
291090 Firmino Alves,2
291100 Floresta Azul,2
291110 Formosa do Rio Preto,20
291120 Gandu,9
291125 Gavião,1
291150 Gongogi,3
291160 Governador Mangabeira,14
291170 Guanambi,40
291180 Guaratinga,3
291185 Heliópolis,1
291190 Iaçu,16
291210 Ibicaraí,9
291220 Ibicoara,2
291230 Ibicuí,5
291240 Ibipeba,2
291250 Ibipitanga,8
291270 Ibirapitanga,7
291280 Ibirapuã,8
291290 Ibirataia,10
291300 Ibitiara,1
291310 Ibititá,5
291320 Ibotirama,13
291330 Ichu,1
291340 Igaporã,1
291345 Igrapiúna,4
291350 Iguaí,2
291360 Ilhéus,172
291370 Inhambupe,8
291380 Ipecaetá,3
291390 Ipiaú,33
291400 Ipirá,22
291440 Iraquara,11
291450 Irará,13
291460 Irecê,24
291465 Itabela,30
291470 Itaberaba,27
291480 Itabuna,200
291490 Itacaré,10
291500 Itaeté,4
291510 Itagi,5
291520 Itagibá,5
291530 Itagimirim,4
291550 Itajuípe,11
291560 Itamaraju,82
291580 Itambé,6
291590 Itanagra,4
291600 Itanhém,10
291610 Itaparica,16
291620 Itapé,2
291630 Itapebi,12
291640 Itapetinga,36
291650 Itapicuru,7
291660 Itapitanga,4
291670 Itaquara,2
291680 Itarantim,3
291685 Itatim,4
291690 Itiruçu,3
291700 Itiúba,2
291710 Itororó,5
291720 Ituaçu,7
291730 Ituberá,19
291733 Iuiú,1
291735 Jaborandi,1
291740 Jacaraci,2
291750 Jacobina,10
291760 Jaguaquara,15
291770 Jaguarari,11
291780 Jaguaripe,6
291790 Jandaíra,2
291800 Jequié,127
291810 Jeremoabo,1
291820 Jiquiriçá,4
291830 Jitaúna,4
291835 João Dourado,6
291840 Juazeiro,229
291850 Jussara,4
291855 Jussari,4
291860 Jussiape,1
291870 Lafaiete Coutinho,1
291875 Lagoa Real,2
291880 Laje,3
291890 Lajedão,7
291900 Lajedinho,1
291905 Lajedo do Tabocal,1
291910 Lamarão,1
291915 Lapão,9
291920 Lauro de Freitas,222
291930 Lençóis,5
291950 Livramento de Nossa Senhora,4
291955 Luís Eduardo Magalhães,68
291960 Macajuba,1
291970 Macarani,2
291980 Macaúbas,3
291992 Madre de Deus,17
292000 Maiquinique,3
292010 Mairi,3
292020 Malhada,3
292030 Malhada de Pedras,2
292040 Manoel Vitorino,6
292045 Mansidão,1
292050 Maracás,14
292060 Maragogipe,11
292070 Maraú,5
292080 Marcionílio Souza,3
292090 Mascote,9
292100 Mata de São João,24
292105 Matina,2
292110 Medeiros Neto,27
292120 Miguel Calmon,3
292130 Milagres,10
292145 Mirante,1
292150 Monte Santo,6
292160 Morpará,2
292170 Morro do Chapéu,12
292180 Mortugaba,1
292190 Mucugê,2
292200 Mucuri,43
292210 Mundo Novo,1
292220 Muniz Ferreira,2
292230 Muritiba,21
292240 Mutuípe,7
292250 Nazaré,18
292260 Nilo Peçanha,3
292265 Nordestina,3
292270 Nova Canaã,1
292273 Nova Fátima,3
292275 Nova Ibiá,2
292280 Nova Itarana,6
292290 Nova Soure,3
292300 Nova Viçosa,43
292303 Novo Horizonte,1
292305 Novo Triunfo,2
292310 Olindina,9
292320 Oliveira dos Brejinhos,4
292330 Ouriçangas,4
292335 Ourolândia,4
292340 Palmas de Monte Alto,1
292350 Palmeiras,6
292370 Paratinga,1
292380 Paripiranga,2
292390 Pau Brasil,6
292400 Paulo Afonso,41
292405 Pé de Serra,2
292430 Piatã,2
292440 Pilão Arcado,2
292460 Pindobaçu,1
292467 Piraí do Norte,2
292470 Piripá,1
292480 Piritiba,7
292500 Planalto,8
292510 Poções,25
292520 Pojuca,20
292525 Ponto Novo,4
292530 Porto Seguro,196
292540 Potiraguá,3
292550 Prado,24
292560 Presidente Dutra,1
292575 Presidente Tancredo Neves,10
292580 Queimadas,5
292590 Quijingue,1
292595 Rafael Jambeiro,13
292600 Remanso,21
292610 Retirolândia,3
292620 Riachão das Neves,5
292630 Riachão do Jacuípe,10
292640 Riacho de Santana,2
292650 Ribeira do Amparo,1
292660 Ribeira do Pombal,12
292670 Rio de Contas,2
292680 Rio do Antônio,2
292690 Rio do Pires,1
292700 Rio Real,8
292710 Rodelas,3
292720 Ruy Barbosa,8
292730 Salinas da Margarida,4
292740 Salvador,3771
292750 Santa Bárbara,6
292770 Santa Cruz Cabrália,31
292780 Santa Cruz da Vitória,6
292790 Santa Inês,8
292805 Santa Luzia,10
292810 Santa Maria da Vitória,11
292840 Santa Rita de Cássia,16
292800 Santaluz,15
292820 Santana,4
292860 Santo Amaro,34
292870 Santo Antônio de Jesus,61
292880 Santo Estêvão,12
292890 São Desidério,7
292910 São Felipe,3
292900 São Félix,6
292905 São Félix do Coribe,1
292920 São Francisco do Conde,23
292925 São Gabriel,2
292930 São Gonçalo dos Campos,8
292935 São José da Vitória,4
292937 São José do Jacuípe,2
292940 São Miguel das Matas,1
292950 São Sebastião do Passé,12
292960 Sapeaçu,2
292970 Sátiro Dias,3
292975 Saubara,10
292980 Saúde,5
292990 Seabra,21
293010 Senhor do Bonfim,48
293020 Sento Sé,4
293015 Serra do Ramalho,3
293040 Serra Preta,1
293050 Serrinha,39
293060 Serrolândia,1
293070 Simões Filho,118
293075 Sítio do Mato,4
293077 Sobradinho,14
293090 Tabocas do Brejo Velho,1
293100 Tanhaçu,1
293105 Tanque Novo,3
293110 Tanquinho,4
293120 Taperoá,8
293130 Tapiramutá,6
293135 Teixeira de Freitas,169
293140 Teodoro Sampaio,1
293150 Teofilândia,6
293160 Teolândia,8
293170 Terra Nova,1
293190 Tucano,7
293200 Uauá,3
293210 Ubaíra,3
293220 Ubaitaba,5
293230 Ubatã,3
293240 Uibaí,1
293245 Umburanas,2
293250 Una,44
293260 Urandi,4
293270 Uruçuca,4
293280 Utinga,3
293290 Valença,85
293300 Valente,2
293305 Várzea da Roça,3
293310 Várzea do Poço,1
293315 Várzea Nova,1
293317 Varzedo,3
293320 Vera Cruz,30
293330 Vitória da Conquista,200
293345 Wanderley,2
293350 Wenceslau Guimarães,6
293360 Xique-Xique,21
290000 Município ignorado - BA,3
310020 Abaeté,9
310030 Abre Campo,1
310040 Acaiaca,2
310050 Açucena,4
310060 Água Boa,2
310070 Água Comprida,2
310080 Aguanil,1
310090 Águas Formosas,19
310100 Águas Vermelhas,1
310110 Aimorés,8
310140 Albertina,1
310150 Além Paraíba,36
310160 Alfenas,59
310163 Alfredo Vasconcelos,3
310170 Almenara,15
310180 Alpercata,2
310190 Alpinópolis,5
310200 Alterosa,3
315350 Alto Jequitibá,1
310210 Alto Rio Doce,5
310230 Alvinópolis,4
310250 Amparo do Serra,3
310260 Andradas,12
310280 Andrelândia,6
310290 Antônio Carlos,1
310300 Antônio Dias,3
310310 Antônio Prado de Minas,2
310340 Araçuaí,12
310350 Araguari,79
310360 Arantina,1
310370 Araponga,2
310375 Araporã,7
310390 Araújos,3
310400 Araxá,113
310410 Arceburgo,4
310420 Arcos,14
310430 Areado,2
310440 Argirita,1
310445 Aricanduva,1
310450 Arinos,1
310460 Astolfo Dutra,5
310470 Ataléia,6
310480 Augusto de Lima,8
310490 Baependi,2
310500 Baldim,6
310510 Bambuí,8
310520 Bandeira,1
310530 Bandeira do Sul,1
310540 Barão de Cocais,14
310550 Barão de Monte Alto,1
310560 Barbacena,46
310590 Barroso,6
310600 Bela Vista de Minas,4
310610 Belmiro Braga,2
310620 Belo Horizonte,3108
310630 Belo Oriente,6
310640 Belo Vale,2
310650 Berilo,1
310660 Bertópolis,1
310670 Betim,297
310680 Bias Fortes,1
310690 Bicas,8
310710 Boa Esperança,10
310720 Bocaina de Minas,1
310730 Bocaiúva,15
310740 Bom Despacho,19
310750 Bom Jardim de Minas,3
310780 Bom Jesus do Galho,2
310790 Bom Repouso,4
310800 Bom Sucesso,6
310810 Bonfim,1
310820 Bonfinópolis de Minas,1
310825 Bonito de Minas,1
310830 Borda da Mata,3
310870 Brás Pires,1
310855 Brasilândia de Minas,2
310860 Brasília de Minas,2
310890 Brasópolis,2
310880 Braúnas,2
310900 Brumadinho,14
310910 Bueno Brandão,1
310920 Buenópolis,2
310925 Bugre,1
310930 Buritis,2
310940 Buritizeiro,11
310945 Cabeceira Grande,1
310950 Cabo Verde,1
310960 Cachoeira da Prata,1
310970 Cachoeira de Minas,4
310270 Cachoeira de Pajeú,1
310990 Caetanópolis,5
311000 Caeté,23
311010 Caiana,2
311020 Cajuri,2
311030 Caldas,1
311050 Camanducaia,6
311060 Cambuí,13
311070 Cambuquira,6
311080 Campanário,1
311090 Campanha,4
311110 Campina Verde,10
311115 Campo Azul,1
311120 Campo Belo,30
311130 Campo do Meio,3
311140 Campo Florido,9
311150 Campos Altos,16
311160 Campos Gerais,7
311190 Cana Verde,1
311170 Canaã,1
311180 Canápolis,3
311200 Candeias,7
311205 Cantagalo,1
311210 Caparaó,1
311230 Capelinha,15
311250 Capim Branco,10
311260 Capinópolis,7
311265 Capitão Andrade,1
311270 Capitão Enéas,1
311280 Capitólio,3
311300 Caraí,4
311310 Caranaíba,1
311320 Carandaí,7
311330 Carangola,19
311340 Caratinga,20
311350 Carbonita,3
311360 Careaçu,2
311370 Carlos Chagas,12
311390 Carmo da Cachoeira,8
311400 Carmo da Mata,2
311410 Carmo de Minas,1
311420 Carmo do Cajuru,9
311430 Carmo do Paranaíba,10
311440 Carmo do Rio Claro,10
311450 Carmópolis de Minas,2
311455 Carneirinho,2
311480 Carvalhos,2
311510 Cássia,3
311530 Cataguases,28
311535 Catas Altas,1
311540 Catas Altas da Noruega,3
311545 Catuji,9
311550 Caxambu,7
311560 Cedro do Abaeté,4
311570 Central de Minas,4
311580 Centralina,4
311590 Chácara,5
311600 Chalé,2
311610 Chapada do Norte,4
311615 Chapada Gaúcha,1
311620 Chiador,3
311640 Claraval,1
311650 Claro dos Poções,2
311660 Cláudio,13
311670 Coimbra,2
311690 Comendador Gomes,4
311730 Conceição das Alagoas,12
311750 Conceição do Mato Dentro,9
311760 Conceição do Pará,4
311770 Conceição do Rio Verde,8
311780 Conceição dos Ouros,7
311787 Confins,5
311790 Congonhal,3
311800 Congonhas,27
311820 Conquista,1
311830 Conselheiro Lafaiete,58
311840 Conselheiro Pena,7
311850 Consolação,1
311860 Contagem,536
311880 Coração de Jesus,1
311890 Cordisburgo,2
311900 Cordislândia,1
311910 Corinto,7
311920 Coroaci,1
311930 Coromandel,9
311940 Coronel Fabriciano,93
311950 Coronel Murta,2
311980 Córrego Danta,1
311990 Córrego do Bom Jesus,1
311995 Córrego Fundo,1
312000 Córrego Novo,1
312010 Couto de Magalhães de Minas,2
312015 Crisólita,1
312020 Cristais,1
312030 Cristália,1
312050 Cristina,4
312087 Curral de Dentro,4
312090 Curvelo,59
312100 Datas,2
312110 Delfim Moreira,2
312125 Delta,5
312130 Descoberto,3
312140 Desterro de Entre Rios,1
312160 Diamantina,28
312180 Dionísio,2
312190 Divinésia,2
312200 Divino,5
312210 Divino das Laranjeiras,1
312220 Divinolândia de Minas,1
312230 Divinópolis,154
312235 Divisa Alegre,2
312240 Divisa Nova,1
312247 Dom Bosco,1
312250 Dom Cavati,2
312260 Dom Joaquim,1
312270 Dom Silvério,4
312290 Dona Eusébia,2
312320 Dores do Indaiá,1
312330 Dores do Turvo,1
312352 Durandé,1
312360 Elói Mendes,13
312370 Engenheiro Caldas,1
312380 Engenheiro Navarro,2
312385 Entre Folhas,1
312390 Entre Rios de Minas,1
312400 Ervália,5
312410 Esmeraldas,49
312420 Espera Feliz,17
312430 Espinosa,2
312440 Espírito Santo do Dourado,1
312450 Estiva,2
312460 Estrela Dalva,1
312470 Estrela do Indaiá,1
312480 Estrela do Sul,4
312490 Eugenópolis,8
312500 Ewbank da Câmara,1
312510 Extrema,11
312520 Fama,2
312540 Felício dos Santos,1
312560 Felisburgo,2
312570 Felixlândia,9
312590 Ferros,1
312595 Fervedouro,3
312610 Formiga,45
312640 Fortuna de Minas,6
312660 Francisco Dumont,1
312670 Francisco Sá,3
312680 Frei Gaspar,2
312690 Frei Inocêncio,4
312695 Frei Lagonegro,1
312700 Fronteira,4
312705 Fronteira dos Vales,3
312710 Frutal,57
312730 Galiléia,3
312735 Glaucilândia,1
312737 Goiabeira,1
312738 Goianá,1
312750 Gonzaga,1
312770 Governador Valadares,213
312800 Guanhães,7
312810 Guapé,1
312825 Guaraciama,2
312840 Guarani,2
312850 Guarará,3
312870 Guaxupé,33
312880 Guidoval,6
312890 Guimarânia,1
312900 Guiricema,4
312920 Heliodora,1
312930 Iapu,6
312950 Ibiá,17
312960 Ibiaí,2
312965 Ibiracatu,1
312970 Ibiraci,8
312980 Ibirité,131
312990 Ibitiúra de Minas,1
