"cidade","tuberculose"
"231025 Paraipaba",46
"231030 Parambu",26
"231040 Paramoti",8
"231050 Pedra Branca",25
"231060 Penaforte",8
"231070 Pentecoste",44
"231080 Pereiro",9
"231085 Pindoretama",56
"231090 Piquet Carneiro",14
"231095 Pires Ferreira",15
"231100 Poranga",13
"231110 Porteiras",8
"231120 Potengi",2
"231123 Potiretama",1
"231126 Quiterianópolis",14
"231130 Quixadá",146
"231135 Quixelô",8
"231140 Quixeramobim",93
"231150 Quixeré",14
"231160 Redenção",38
"231170 Reriutaba",28
"231180 Russas",71
"231190 Saboeiro",13
"231195 Salitre",9
"231220 Santa Quitéria",58
"231200 Santana do Acaraú",60
"231210 Santana do Cariri",16
"231230 São Benedito",81
"231240 São Gonçalo do Amarante",93
"231250 São João do Jaguaribe",6
"231260 São Luís do Curu",32
"231270 Senador Pompeu",36
"231280 Senador Sá",9
"231290 Sobral",856
"231300 Solonópole",25
"231310 Tabuleiro do Norte",50
"231320 Tamboril",40
"231325 Tarrafas",4
"231330 Tauá",86
"231335 Tejuçuoca",17
"231340 Tianguá",60
"231350 Trairi",82
"231355 Tururu",21
"231360 Ubajara",23
"231370 Umari",3
"231375 Umirim",60
"231380 Uruburetama",53
"231390 Uruoca",26
"231395 Varjota",31
"231400 Várzea Alegre",19
"231410 Viçosa do Ceará",56
"230000 Município ignorado - CE",1
"240010 Acari",2
"240020 Açu",65
"240030 Afonso Bezerra",27
"240040 Água Nova",1
"240050 Alexandria",7
"240060 Almino Afonso",3
"240070 Alto do Rodrigues",24
"240080 Angicos",15
"240090 Antônio Martins",9
"240100 Apodi",43
"240110 Areia Branca",57
"240120 Arês",17
"240130 Augusto Severo",13
"240140 Baía Formosa",17
"240145 Baraúna",30
"240150 Barcelona",4
"240160 Bento Fernandes",4
"240165 Bodó",1
"240170 Bom Jesus",10
"240180 Brejinho",23
"240185 Caiçara do Norte",7
"240190 Caiçara do Rio do Vento",3
"240200 Caicó",103
"240210 Campo Redondo",9
"240220 Canguaretama",55
"240230 Caraúbas",24
"240240 Carnaúba dos Dantas",6
"240250 Carnaubais",11
"240260 Ceará-Mirim",185
"240270 Cerro Corá",2
"240280 Coronel Ezequiel",2
"240290 Coronel João Pessoa",1
"240300 Cruzeta",7
"240310 Currais Novos",56
"240320 Doutor Severiano",7
"240330 Encanto",1
"240350 Espírito Santo",8
"240360 Extremoz",102
"240370 Felipe Guerra",14
"240375 Fernando Pedroza",3
"240380 Florânia",11
"240390 Francisco Dantas",3
"240400 Frutuoso Gomes",3
"240410 Galinhos",3
"240420 Goianinha",64
"240430 Governador Dix-Sept Rosado",21
"240440 Grossos",21
"240450 Guamaré",32
"240460 Ielmo Marinho",12
"240470 Ipanguaçu",10
"240480 Ipueira",1
"240485 Itajá",9
"240490 Itaú",2
"240500 Jaçanã",5
"240510 Jandaíra",11
"240520 Janduís",3
"240530 Januário Cicco",3
"240540 Japi",1
"240550 Jardim de Angicos",3
"240560 Jardim de Piranhas",8
"240570 Jardim do Seridó",9
"240580 João Câmara",53
"240590 João Dias",1
"240610 Jucurutu",20
"240615 Jundiá",2
"240620 Lagoa d'Anta",10
"240630 Lagoa de Pedras",4
"240650 Lagoa Nova",8
"240660 Lagoa Salgada",6
"240670 Lajes",8
"240700 Luís Gomes",2
"240710 Macaíba",197
"240720 Macau",75
"240725 Major Sales",6
"240730 Marcelino Vieira",4
"240740 Martins",8
"240750 Maxaranguape",20
"240760 Messias Targino",3
"240770 Montanhas",15
"240780 Monte Alegre",27
"240800 Mossoró",598
"240810 Natal",2621
"240820 Nísia Floresta",361
"240830 Nova Cruz",63
"240840 Olho-d'Água do Borges",5
"240860 Paraná",3
"240870 Paraú",1
"240880 Parazinho",4
"240890 Parelhas",11
"240325 Parnamirim",503
"240910 Passa e Fica",7
"240920 Passagem",3
"240930 Patu",12
"240940 Pau dos Ferros",16
"240960 Pedra Preta",1
"240970 Pedro Avelino",5
"240980 Pedro Velho",27
"240990 Pendências",34
"241000 Pilões",2
"241010 Poço Branco",4
"241020 Portalegre",7
"241025 Porto do Mangue",4
"241040 Pureza",9
"241050 Rafael Fernandes",1
"241060 Rafael Godeiro",2
"241070 Riacho da Cruz",7
"241080 Riacho de Santana",2
"241090 Riachuelo",2
"240895 Rio do Fogo",11
"241100 Rodolfo Fernandes",4
"241110 Ruy Barbosa",2
"241120 Santa Cruz",40
"240933 Santa Maria",4
"241140 Santana do Matos",14
"241150 Santo Antônio",23
"241160 São Bento do Norte",2
"241170 São Bento do Trairí",6
"241180 São Fernando",2
"241190 São Francisco do Oeste",4
"241200 São Gonçalo do Amarante",253
"241210 São João do Sabugi",4
"241220 São José de Mipibu",88
"241230 São José do Campestre",12
"241240 São José do Seridó",3
"241250 São Miguel",13
"241255 São Miguel do Gostoso",12
"241260 São Paulo do Potengi",22
"241280 São Rafael",4
"241290 São Tomé",6
"241300 São Vicente",3
"241310 Senador Elói de Souza",5
"241320 Senador Georgino Avelino",5
"241030 Serra Caiada",15
"241330 Serra de São Bento",2
"241335 Serra do Mel",4
"241340 Serra Negra do Norte",8
"241350 Serrinha",3
"241360 Severiano Melo",6
"241370 Sítio Novo",5
"241380 Taboleiro Grande",3
"241390 Taipu",11
"241400 Tangará",9
"241410 Tenente Ananias",13
"241415 Tenente Laurentino Cruz",3
"241105 Tibau",10
"241420 Tibau do Sul",30
"241430 Timbaúba dos Batistas",1
"241440 Touros",37
"241450 Umarizal",7
"241460 Upanema",5
"241470 Várzea",6
"241475 Venha-Ver",1
"241480 Vera Cruz",10
"241490 Viçosa",3
"241500 Vila Flor",2
"240000 Município ignorado - RN",5
"250010 Água Branca",2
"250020 Aguiar",1
"250030 Alagoa Grande",61
"250040 Alagoa Nova",18
"250050 Alagoinha",23
"250053 Alcantil",4
"250057 Algodão de Jandaíra",3
"250060 Alhandra",48
"250077 Aparecida",11
"250080 Araçagi",28
"250090 Arara",10
"250100 Araruna",14
"250110 Areia",17
"250115 Areia de Baraúnas",2
"250120 Areial",6
"250130 Aroeiras",16
"250135 Assunção",9
"250140 Baía da Traição",8
"250150 Bananeiras",11
"250153 Baraúna",4
"250160 Barra de Santa Rosa",10
"250157 Barra de Santana",11
"250170 Barra de São Miguel",2
"250180 Bayeux",309
"250190 Belém",35
"250200 Belém do Brejo do Cruz",6
"250205 Bernardino Batista",1
"250210 Boa Ventura",8
"250215 Boa Vista",5
"250220 Bom Jesus",5
"250230 Bom Sucesso",3
"250240 Bonito de Santa Fé",2
"250250 Boqueirão",19
"250270 Borborema",3
"250280 Brejo do Cruz",10
"250290 Brejo dos Santos",4
"250300 Caaporã",45
"250310 Cabaceiras",4
"250320 Cabedelo",148
"250330 Cachoeira dos Índios",9
"250340 Cacimba de Areia",4
"250350 Cacimba de Dentro",7
"250355 Cacimbas",8
"250360 Caiçara",1
"250370 Cajazeiras",147
"250375 Cajazeirinhas",3
"250380 Caldas Brandão",8
"250390 Camalaú",4
"250400 Campina Grande",765
"250403 Capim",13
"250407 Caraúbas",2
"250415 Casserengue",2
"250420 Catingueira",5
"250430 Catolé do Rocha",44
"250435 Caturité",4
"250440 Conceição",16
"250450 Condado",18
"250460 Conde",54
"250470 Congo",9
"250480 Coremas",16
"250490 Cruz do Espírito Santo",25
"250500 Cubati",3
"250510 Cuité",7
"250523 Cuité de Mamanguape",4
"250520 Cuitegi",8
"250527 Curral de Cima",7
"250530 Curral Velho",4
"250540 Desterro",11
"250560 Diamante",1
"250570 Dona Inês",9
"250580 Duas Estradas",5
"250590 Emas",1
"250600 Esperança",55
"250610 Fagundes",11
"250625 Gado Bravo",7
"250630 Guarabira",145
"250640 Gurinhém",29
"250650 Gurjão",3
"250660 Ibiara",3
"250260 Igaracy",5
"250670 Imaculada",5
"250680 Ingá",18
"250690 Itabaiana",63
"250700 Itaporanga",29
"250710 Itapororoca",30
"250720 Itatuba",14
"250730 Jacaraú",19
"250740 Jericó",6
"250750 João Pessoa",2371
"251365 Joca Claudino",5
"250760 Juarez Távora",8
"250770 Juazeirinho",5
"250780 Junco do Seridó",8
"250790 Juripiranga",19
"250800 Juru",1
"250810 Lagoa",2
"250820 Lagoa de Dentro",2
"250830 Lagoa Seca",26
"250840 Lastro",4
"250850 Livramento",6
"250855 Logradouro",6
"250860 Lucena",8
"250870 Mãe d'Água",3
"250880 Malta",13
"250890 Mamanguape",63
"250900 Manaíra",8
"250905 Marcação",8
"250910 Mari",24
"250915 Marizópolis",9
"250920 Massaranduba",24
"250930 Mataraca",6
"250933 Matinhas",9
"250937 Mato Grosso",3
"250939 Maturéia",4
"250940 Mogeiro",14
"250950 Montadas",4
"250960 Monte Horebe",2
"250970 Monteiro",32
"250980 Mulungu",12
"250990 Natuba",2
"251000 Nazarezinho",1
"251010 Nova Floresta",2
"251020 Nova Olinda",4
"251030 Nova Palmeira",1
"251040 Olho d'Água",7
"251070 Passagem",1
"251080 Patos",155
"251090 Paulista",6
"251100 Pedra Branca",6
"251110 Pedra Lavrada",9
"251120 Pedras de Fogo",26
"251272 Pedro Régis",1
"251130 Piancó",7
"251140 Picuí",10
"251150 Pilar",31
"251160 Pilões",9
"251170 Pilõezinhos",15
"251180 Pirpirituba",10
"251190 Pitimbu",29
"251200 Pocinhos",20
"251207 Poço de José de Moura",1
"251210 Pombal",41
"251220 Prata",2
"251230 Princesa Isabel",5
"251240 Puxinanã",18
"251250 Queimadas",50
"251260 Quixabá",4
"251270 Remígio",18
"251275 Riachão do Bacamarte",9
"251276 Riachão do Poço",5
"251278 Riacho de Santo Antônio",3
"251280 Riacho dos Cavalos",6
"251290 Rio Tinto",21
"251310 Salgado de São Félix",11
"251320 Santa Cruz",7
"251330 Santa Helena",1
"251335 Santa Inês",2
"251340 Santa Luzia",11
"251370 Santa Rita",360
"251380 Santa Teresinha",3
"251350 Santana de Mangueira",3
"251360 Santana dos Garrotes",2
"251385 Santo André",3
"251392 São Bentinho",1
"251390 São Bento",32
"251396 São Domingos",2
"251394 São Domingos do Cariri",3
"251398 São Francisco",4
"251400 São João do Cariri",2
"250070 São João do Rio do Peixe",12
"251410 São João do Tigre",2
"251420 São José da Lagoa Tapada",4
"251440 São José de Espinharas",9
"251450 São José de Piranhas",20
"251460 São José do Bonfim",1
"251470 São José do Sabugi",2
"251480 São José dos Cordeiros",1
"251445 São José dos Ramos",7
"251490 São Mamede",9
"251500 São Miguel de Taipu",9
"251510 São Sebastião de Lagoa de Roça",6
"251520 São Sebastião do Umbuzeiro",2
"251540 São Vicente do Seridó",8
"251530 Sapé",110
"251550 Serra Branca",14
"251560 Serra da Raiz",5
"251570 Serra Grande",4
"251580 Serra Redonda",11
"251590 Serraria",7
"251593 Sertãozinho",12
"251597 Sobrado",5
"251600 Solânea",43
"251610 Soledade",17
"251620 Sousa",111
"251630 Sumé",16
"251640 Tacima",6
"251650 Taperoá",14
"251660 Tavares",9
"251670 Teixeira",11
"251675 Tenório",4
"251680 Triunfo",12
"251690 Uiraúna",6
"251700 Umbuzeiro",10
"251710 Várzea",2
"251720 Vieirópolis",6
"250550 Vista Serrana",1
"260005 Abreu e Lima",743
"260010 Afogados da Ingazeira",27
"260020 Afrânio",15
"260030 Agrestina",36
"260040 Água Preta",80
"260050 Águas Belas",42
"260060 Alagoinha",15
"260070 Aliança",106
"260080 Altinho",12
"260090 Amaraji",32
"260100 Angelim",20
"260105 Araçoiaba",46
"260110 Araripina",97
"260120 Arcoverde",225
"260130 Barra de Guabiraba",16
"260140 Barreiros",152
"260150 Belém de Maria",15
"260160 Belém do São Francisco",33
"260170 Belo Jardim",87
"260180 Betânia",12
"260190 Bezerros",111
"260200 Bodocó",30
"260210 Bom Conselho",42
"260220 Bom Jardim",38
"260230 Bonito",55
"260240 Brejão",12
"260250 Brejinho",7
"260260 Brejo da Madre de Deus",61
"260270 Buenos Aires",22
"260280 Buíque",72
"260290 Cabo de Santo Agostinho",608
"260300 Cabrobó",68
"260310 Cachoeirinha",27
"260320 Caetés",22
"260330 Calçado",9
"260340 Calumbi",9
"260345 Camaragibe",550
"260350 Camocim de São Félix",17
"260360 Camutanga",15
"260370 Canhotinho",137
"260380 Capoeiras",15
"260390 Carnaíba",19
"260392 Carnaubeira da Penha",8
"260400 Carpina",192
"260410 Caruaru",1092
"260415 Casinhas",18
"260420 Catende",99
"260430 Cedro",3
"260440 Chã de Alegria",27
"260450 Chã Grande",50
"260460 Condado",56
"260470 Correntes",10
"260480 Cortês",37
"260490 Cumaru",11
"260500 Cupira",38
"260510 Custódia",48
"260515 Dormentes",8
"260520 Escada",177
"260530 Exu",18
"260540 Feira Nova",35
"260545 Fernando de Noronha",3
"260550 Ferreiros",25
"260560 Flores",9
"260570 Floresta",27
"260580 Frei Miguelinho",13
"260590 Gameleira",56
"260600 Garanhuns",263
"260610 Glória do Goitá",31
"260620 Goiana",263
"260630 Granito",7
"260640 Gravatá",197
"260650 Iati",9
"260660 Ibimirim",28
"260670 Ibirajuba",1
"260680 Igarassu",344
"260690 Iguaracy",6
"260760 Ilha de Itamaracá",810
"260700 Inajá",12
"260710 Ingazeira",3
"260720 Ipojuca",255
"260730 Ipubi",29
"260740 Itacuruba",9
"260750 Itaíba",15
"260765 Itambé",34
"260770 Itapetim",15
"260775 Itapissuma",685
"260780 Itaquitinga",54
"260790 Jaboatão dos Guararapes",2590
"260795 Jaqueira",20
"260800 Jataúba",12
"260805 Jatobá",24
"260810 João Alfredo",33
"260820 Joaquim Nabuco",51
"260825 Jucati",10
"260830 Jupi",15
"260840 Jurema",11
"260850 Lagoa de Itaenga",40
"260845 Lagoa do Carro",39
"260860 Lagoa do Ouro",12
"260870 Lagoa dos Gatos",17
"260875 Lagoa Grande",32
"260880 Lajedo",58
"260890 Limoeiro",258
"260900 Macaparana",37
"260910 Machados",7
"260915 Manari",15
"260920 Maraial",25
"260930 Mirandiba",19
"261430 Moreilândia",10
"260940 Moreno",100
"260950 Nazaré da Mata",81
"260960 Olinda",1815
"260970 Orobó",18
"260980 Orocó",15
"260990 Ouricuri",87
"261000 Palmares",394
"261010 Palmeirina",4
"261020 Panelas",33
"261030 Paranatama",19
"261040 Parnamirim",14
"261050 Passira",38
"261060 Paudalho",121
"261070 Paulista",1075
"261080 Pedra",25
"261090 Pesqueira",181
"261100 Petrolândia",50
"261110 Petrolina",555
"261120 Poção",7
"261130 Pombos",27
"261140 Primavera",34
"261150 Quipapá",30
"261153 Quixaba",3
"261160 Recife",9454
"261170 Riacho das Almas",21
"261180 Ribeirão",94
"261190 Rio Formoso",57
"261200 Sairé",7
"261210 Salgadinho",4
"261220 Salgueiro",141
"261230 Saloá",6
"261240 Sanharó",27
"261245 Santa Cruz",12
"261247 Santa Cruz da Baixa Verde",12
"261250 Santa Cruz do Capibaribe",170
"261255 Santa Filomena",3
"261260 Santa Maria da Boa Vista",24
"261270 Santa Maria do Cambucá",7
"261280 Santa Terezinha",3
"261290 São Benedito do Sul",17
"261300 São Bento do Una",71
"261310 São Caitano",57
"261320 São João",31
"261330 São Joaquim do Monte",25
"261340 São José da Coroa Grande",69
"261350 São José do Belmonte",29
"261360 São José do Egito",37
"261370 São Lourenço da Mata",437
"261380 São Vicente Ferrer",39
"261390 Serra Talhada",113
"261400 Serrita",27
"261410 Sertânia",31
"261420 Sirinhaém",100
"261440 Solidão",2
"261450 Surubim",70
"261460 Tabira",25
"261470 Tacaimbó",48
"261480 Tacaratu",35
"261485 Tamandaré",83
"261500 Taquaritinga do Norte",33
"261510 Terezinha",2
"261520 Terra Nova",19
"261530 Timbaúba",141
"261540 Toritama",61
"261550 Tracunhaém",31
"261560 Trindade",43
"261570 Triunfo",13
"261580 Tupanatinga",27
"261590 Tuparetama",11
"261600 Venturosa",11
"261610 Verdejante",8
"261618 Vertente do Lério",4
"261620 Vertentes",33
"261630 Vicência",47
"261640 Vitória de Santo Antão",399
"261650 Xexéu",34
"260000 Município ignorado - PE",1
"270010 Água Branca",21
"270020 Anadia",18
"270030 Arapiraca",343
"270040 Atalaia",83
"270050 Barra de Santo Antônio",26
"270060 Barra de São Miguel",14
"270070 Batalha",26
"270080 Belém",3
"270090 Belo Monte",6
"270100 Boca da Mata",41
"270110 Branquinha",13
"270120 Cacimbinhas",14
"270130 Cajueiro",27
"270135 Campestre",7
"270140 Campo Alegre",60
"270150 Campo Grande",6
"270160 Canapi",13
"270170 Capela",20
"270180 Carneiros",3
"270190 Chã Preta",9
"270200 Coité do Nóia",13
"270210 Colônia Leopoldina",28
"270220 Coqueiro Seco",15
"270230 Coruripe",65
"270235 Craíbas",19
"270240 Delmiro Gouveia",77
"270250 Dois Riachos",5
"270255 Estrela de Alagoas",14
"270260 Feira Grande",14
"270270 Feliz Deserto",2
"270280 Flexeiras",21
"270290 Girau do Ponciano",22
"270300 Ibateguara",7
"270310 Igaci",29
"270320 Igreja Nova",18
"270330 Inhapi",19
"270340 Jacaré dos Homens",2
"270350 Jacuípe",24
"270360 Japaratinga",8
"270370 Jaramataia",7
"270375 Jequiá da Praia",17
"270380 Joaquim Gomes",39
"270390 Jundiá",6
"270400 Junqueiro",26
"270410 Lagoa da Canoa",19
"270420 Limoeiro de Anadia",9
"270430 Maceió",3060
"270440 Major Isidoro",13
"270450 Maragogi",32
"270460 Maravilha",8
"270470 Marechal Deodoro",113
"270480 Maribondo",20
"270500 Mata Grande",13
"270510 Matriz de Camaragibe",62
"270520 Messias",30
"270530 Minador do Negrão",1
"270540 Monteirópolis",9
"270550 Murici",53
"270560 Novo Lino",18
"270570 Olho d'Água das Flores",15
"270580 Olho d'Água do Casado",7
"270590 Olho d'Água Grande",1
"270600 Olivença",8
"270610 Ouro Branco",13
"270620 Palestina",8
"270630 Palmeira dos Índios",134
"270640 Pão de Açúcar",20
"270642 Pariconha",8
"270644 Paripueira",27
"270650 Passo de Camaragibe",10
"270660 Paulo Jacinto",5
"270670 Penedo",92
"270680 Piaçabuçu",43
"270690 Pilar",93
"270700 Pindoba",3
"270710 Piranhas",25
"270720 Poço das Trincheiras",13
"270730 Porto Calvo",27
"270740 Porto de Pedras",8
"270750 Porto Real do Colégio",21
"270760 Quebrangulo",8
"270770 Rio Largo",207
"270780 Roteiro",6
"270790 Santa Luzia do Norte",13
"270800 Santana do Ipanema",70
"270810 Santana do Mundaú",9
"270820 São Brás",5
"270830 São José da Laje",39
"270840 São José da Tapera",26
"270850 São Luís do Quitunde",63
"270860 São Miguel dos Campos",150
"270870 São Miguel dos Milagres",5
"270880 São Sebastião",20
"270890 Satuba",55
"270895 Senador Rui Palmeira",4
"270900 Tanque d'Arca",6
"270910 Taquarana",17
"270915 Teotônio Vilela",89
"270920 Traipu",12
"270930 União dos Palmares",89
"270940 Viçosa",34
"280010 Amparo de São Francisco",8
"280020 Aquidabã",23
"280030 Aracaju",1459
"280040 Arauá",12
"280050 Areia Branca",45
"280060 Barra dos Coqueiros",54
"280067 Boquim",29
"280070 Brejo Grande",9
"280100 Campo do Brito",25
"280110 Canhoba",1
"280120 Canindé de São Francisco",25
"280130 Capela",31
"280140 Carira",25
"280150 Carmópolis",26
"280160 Cedro de São João",4
"280170 Cristinápolis",44
"280190 Cumbe",4
"280200 Divina Pastora",6
"280210 Estância",121
"280230 Frei Paulo",15
"280240 Gararu",6
"280250 General Maynard",3
"280260 Gracho Cardoso",1
"280270 Ilha das Flores",11
"280280 Indiaroba",15
"280290 Itabaiana",170
"280300 Itabaianinha",24
"280310 Itabi",3
"280320 Itaporanga d'Ajuda",61
"280330 Japaratuba",34
"280340 Japoatã",10
"280350 Lagarto",174
"280360 Laranjeiras",63
"280370 Macambira",5
"280380 Malhada dos Bois",6
"280390 Malhador",15
"280400 Maruim",44
"280410 Moita Bonita",10
"280420 Monte Alegre de Sergipe",15
"280430 Muribeca",15
"280440 Neópolis",36
"280445 Nossa Senhora Aparecida",3
"280450 Nossa Senhora da Glória",53
"280460 Nossa Senhora das Dores",32
"280470 Nossa Senhora de Lourdes",5
"280480 Nossa Senhora do Socorro",408
"280490 Pacatuba",11
"280500 Pedra Mole",3
"280510 Pedrinhas",15
"280520 Pinhão",7
"280530 Pirambu",12
"280540 Poço Redondo",13
"280550 Poço Verde",24
"280560 Porto da Folha",23
"280570 Propriá",99
"280580 Riachão do Dantas",27
"280590 Riachuelo",15
"280600 Ribeirópolis",8
"280610 Rosário do Catete",26
"280620 Salgado",31
"280630 Santa Luzia do Itanhy",12
"280650 Santa Rosa de Lima",7
"280640 Santana do São Francisco",10
"280660 Santo Amaro das Brotas",13
"280670 São Cristóvão",580
"280680 São Domingos",13
"280690 São Francisco",1
"280700 São Miguel do Aleixo",3
"280710 Simão Dias",57
"280720 Siriri",13
"280730 Telha",7
"280740 Tobias Barreto",122
"280750 Tomar do Geru",7
"280760 Umbaúba",41
"290010 Abaíra",1
"290020 Abaré",9
"290030 Acajutiba",19
"290035 Adustina",11
"290040 Água Fria",10
"290060 Aiquara",7
"290070 Alagoinhas",206
"290080 Alcobaça",46
"290090 Almadina",7
"290100 Amargosa",41
"290110 Amélia Rodrigues",26
"290115 América Dourada",23
"290120 Anagé",13
"290130 Andaraí",19
"290135 Andorinha",15
"290140 Angical",45
"290150 Anguera",8
"290160 Antas",17
"290170 Antônio Cardoso",10
"290180 Antônio Gonçalves",26
"290190 Aporá",21
"290195 Apuarema",9
"290205 Araças",7
"290200 Aracatu",10
"290210 Araci",75
"290220 Aramari",9
"290225 Arataca",28
"290230 Aratuípe",19
"290240 Aurelino Leal",21
"290250 Baianópolis",5
"290260 Baixa Grande",8
"290265 Banzaê",16
"290270 Barra",66
"290280 Barra da Estiva",11
"290290 Barra do Choça",17
"290300 Barra do Mendes",14
"290310 Barra do Rocha",18
"290320 Barreiras",290
"290323 Barro Alto",16
"290330 Barro Preto",8
"290327 Barrocas",18
"290340 Belmonte",61
"290350 Belo Campo",9
"290360 Biritinga",10
"290370 Boa Nova",9
"290380 Boa Vista do Tupim",9
"290390 Bom Jesus da Lapa",84
"290395 Bom Jesus da Serra",15
"290400 Boninal",8
"290405 Bonito",4
"290410 Boquira",23
"290420 Botuporã",8
"290430 Brejões",7
"290440 Brejolândia",12
"290450 Brotas de Macaúbas",9
"290460 Brumado",60
"290470 Buerarema",40
"290475 Buritirama",9
"290480 Caatiba",5
"290485 Cabaceiras do Paraguaçu",16
"290490 Cachoeira",52
"290500 Caculé",15
"290510 Caém",18
"290515 Caetanos",21
"290520 Caetité",27
"290530 Cafarnaum",21
"290540 Cairu",38
"290550 Caldeirão Grande",10
"290560 Camacan",80
"290570 Camaçari",510
"290580 Camamu",50
"290590 Campo Alegre de Lourdes",15
"290600 Campo Formoso",95
"290610 Canápolis",19
"290620 Canarana",26
"290630 Canavieiras",78
"290640 Candeal",3
"290650 Candeias",165
"290660 Candiba",5
"290670 Cândido Sales",19
"290680 Cansanção",22
"290682 Canudos",6
"290685 Capela do Alto Alegre",4
"290687 Capim Grosso",50
"290689 Caraíbas",10
"290690 Caravelas",50
"290700 Cardeal da Silva",14
"290710 Carinhanha",42
"290720 Casa Nova",49
"290730 Castro Alves",44
"290740 Catolândia",5
"290750 Catu",73
"290755 Caturama",5
"290760 Central",26
"290770 Chorrochó",5
"290780 Cícero Dantas",19
"290790 Cipó",22
"290800 Coaraci",48
"290810 Cocos",8
"290820 Conceição da Feira",15
"290830 Conceição do Almeida",21
"290840 Conceição do Coité",51
"290850 Conceição do Jacuípe",47
"290860 Conde",41
"290870 Condeúba",9
"290880 Contendas do Sincorá",3
"290890 Coração de Maria",16
"290900 Cordeiros",2
"290910 Coribe",14
"290920 Coronel João Sá",10
"290930 Correntina",17
"290940 Cotegipe",19
"290950 Cravolândia",3
"290960 Crisópolis",11
"290970 Cristópolis",12
"290980 Cruz das Almas",41
"290990 Curaçá",25
"291000 Dário Meira",9
"291005 Dias d'Ávila",144
"291010 Dom Basílio",6
"291020 Dom Macedo Costa",2
"291030 Elísio Medrado",2
"291040 Encruzilhada",16
"291050 Entre Rios",39
"290050 Érico Cardoso",4
"291060 Esplanada",31
"291070 Euclides da Cunha",70
"291072 Eunápolis",311
"291075 Fátima",10
"291077 Feira da Mata",1
"291080 Feira de Santana",1083
"291085 Filadélfia",15
"291090 Firmino Alves",5
"291100 Floresta Azul",11
"291110 Formosa do Rio Preto",30
"291120 Gandu",53
"291125 Gavião",5
"291130 Gentio do Ouro",14
"291140 Glória",4
"291150 Gongogi",21
"291160 Governador Mangabeira",27
"291165 Guajeru",8
"291170 Guanambi",45
"291180 Guaratinga",28
"291185 Heliópolis",17
"291190 Iaçu",46
"291200 Ibiassucê",4
"291210 Ibicaraí",57
"291220 Ibicoara",10
"291230 Ibicuí",17
"291240 Ibipeba",28
"291250 Ibipitanga",25
"291260 Ibiquera",2
"291270 Ibirapitanga",37
"291280 Ibirapuã",13
"291290 Ibirataia",52
"291300 Ibitiara",25
"291310 Ibititá",14
"291320 Ibotirama",29
"291330 Ichu",5
"291340 Igaporã",3
"291345 Igrapiúna",12
"291350 Iguaí",31
"291360 Ilhéus",695
"291370 Inhambupe",27
"291380 Ipecaetá",13
"291390 Ipiaú",138
"291400 Ipirá",28
"291410 Ipupiara",9
"291420 Irajuba",4
"291430 Iramaia",2
"291440 Iraquara",20
"291450 Irará",37
"291460 Irecê",115
"291465 Itabela",72
"291470 Itaberaba",56
"291480 Itabuna",754
"291490 Itacaré",82
"291500 Itaeté",5
"291510 Itagi",22
"291520 Itagibá",17
"291530 Itagimirim",21
"291535 Itaguaçu da Bahia",2
"291540 Itaju do Colônia",12
"291550 Itajuípe",49
"291560 Itamaraju",137
"291570 Itamari",20
"291580 Itambé",21
"291590 Itanagra",6
"291600 Itanhém",17
"291610 Itaparica",52
"291620 Itapé",30
"291630 Itapebi",16
"291640 Itapetinga",165
"291650 Itapicuru",30
"291660 Itapitanga",12
"291670 Itaquara",2
"291680 Itarantim",24
"291685 Itatim",9
"291690 Itiruçu",3
"291700 Itiúba",31
"291710 Itororó",22
"291720 Ituaçu",8
"291730 Ituberá",42
"291733 Iuiú",15
"291735 Jaborandi",10
"291740 Jacaraci",7
"291750 Jacobina",129
"291760 Jaguaquara",33
"291770 Jaguarari",24
"291780 Jaguaripe",12
"291790 Jandaíra",11
"291800 Jequié",332
"291810 Jeremoabo",21
"291820 Jiquiriçá",10
"291830 Jitaúna",24
"291835 João Dourado",19
"291840 Juazeiro",337
"291845 Jucuruçu",10
"291850 Jussara",14
"291855 Jussari",11
"291860 Jussiape",4
"291870 Lafaiete Coutinho",3
"291875 Lagoa Real",5
"291880 Laje",14
"291890 Lajedão",1
"291900 Lajedinho",1
"291905 Lajedo do Tabocal",7
"291910 Lamarão",7
"291915 Lapão",31
"291920 Lauro de Freitas",463
"291930 Lençóis",10
"291940 Licínio de Almeida",4
"291950 Livramento de Nossa Senhora",24
"291955 Luís Eduardo Magalhães",92
"291960 Macajuba",14
"291970 Macarani",34
"291980 Macaúbas",35
"291990 Macururé",6
"291992 Madre de Deus",41
"291995 Maetinga",1
"292000 Maiquinique",9
"292010 Mairi",19
"292020 Malhada",30
"292030 Malhada de Pedras",9
"292040 Manoel Vitorino",7
"292045 Mansidão",2
"292050 Maracás",17
"292060 Maragogipe",48
"292070 Maraú",24
"292080 Marcionílio Souza",11
"292090 Mascote",22
"292100 Mata de São João",110
"292105 Matina",5
"292110 Medeiros Neto",28
"292120 Miguel Calmon",13
"292130 Milagres",17
"292140 Mirangaba",15
"292145 Mirante",7
"292150 Monte Santo",44
"292160 Morpará",11
"292170 Morro do Chapéu",30
"292180 Mortugaba",2
"292190 Mucugê",17
"292200 Mucuri",56
"292205 Mulungu do Morro",19
"292210 Mundo Novo",10
"292220 Muniz Ferreira",4
"292225 Muquém de São Francisco",10
"292230 Muritiba",44
"292240 Mutuípe",14
"292250 Nazaré",50
