"cidade","scongenita"
"241335 Serra do Mel",8
"241350 Serrinha",1
"241370 Sítio Novo",2
"241390 Taipu",2
"241400 Tangará",10
"241415 Tenente Laurentino Cruz",5
"241420 Tibau do Sul",12
"241440 Touros",39
"241450 Umarizal",1
"241460 Upanema",1
"241470 Várzea",2
"241500 Vila Flor",1
"250010 Água Branca",1
"250030 Alagoa Grande",6
"250040 Alagoa Nova",7
"250050 Alagoinha",4
"250053 Alcantil",5
"250057 Algodão de Jandaíra",1
"250060 Alhandra",12
"250077 Aparecida",3
"250080 Araçagi",1
"250090 Arara",1
"250100 Araruna",3
"250110 Areia",4
"250120 Areial",1
"250130 Aroeiras",14
"250135 Assunção",3
"250140 Baía da Traição",2
"250153 Baraúna",4
"250160 Barra de Santa Rosa",6
"250157 Barra de Santana",2
"250170 Barra de São Miguel",5
"250180 Bayeux",64
"250200 Belém do Brejo do Cruz",1
"250210 Boa Ventura",1
"250215 Boa Vista",1
"250250 Boqueirão",2
"250280 Brejo do Cruz",5
"250290 Brejo dos Santos",2
"250300 Caaporã",27
"250320 Cabedelo",35
"250330 Cachoeira dos Índios",2
"250350 Cacimba de Dentro",1
"250355 Cacimbas",7
"250370 Cajazeiras",10
"250380 Caldas Brandão",1
"250390 Camalaú",3
"250400 Campina Grande",196
"250403 Capim",1
"250430 Catolé do Rocha",6
"250440 Conceição",2
"250450 Condado",2
"250460 Conde",24
"250470 Congo",1
"250480 Coremas",3
"250490 Cruz do Espírito Santo",4
"250500 Cubati",3
"250510 Cuité",3
"250520 Cuitegi",1
"250535 Damião",4
"250540 Desterro",3
"250560 Diamante",1
"250580 Duas Estradas",1
"250590 Emas",1
"250600 Esperança",14
"250610 Fagundes",3
"250625 Gado Bravo",1
"250630 Guarabira",4
"250640 Gurinhém",1
"250680 Ingá",5
"250690 Itabaiana",9
"250700 Itaporanga",3
"250710 Itapororoca",1
"250720 Itatuba",6
"250730 Jacaraú",3
"250740 Jericó",1
"250750 João Pessoa",591
"250760 Juarez Távora",3
"250770 Juazeirinho",11
"250780 Junco do Seridó",4
"250790 Juripiranga",4
"250820 Lagoa de Dentro",2
"250830 Lagoa Seca",6
"250855 Logradouro",1
"250860 Lucena",4
"250870 Mãe d'Água",2
"250890 Mamanguape",10
"250900 Manaíra",5
"250905 Marcação",1
"250910 Mari",5
"250915 Marizópolis",1
"250920 Massaranduba",5
"250930 Mataraca",4
"250933 Matinhas",1
"250939 Maturéia",3
"250940 Mogeiro",2
"250950 Montadas",1
"250970 Monteiro",11
"250980 Mulungu",1
"251010 Nova Floresta",6
"251020 Nova Olinda",2
"251030 Nova Palmeira",1
"251060 Ouro Velho",1
"251080 Patos",12
"251120 Pedras de Fogo",17
"251272 Pedro Régis",4
"251130 Piancó",10
"251140 Picuí",2
"251150 Pilar",5
"251170 Pilõezinhos",1
"251190 Pitimbu",13
"251200 Pocinhos",8
"251230 Princesa Isabel",2
"251240 Puxinanã",6
"251250 Queimadas",21
"251270 Remígio",8
"251274 Riachão",1
"251275 Riachão do Bacamarte",2
"251278 Riacho de Santo Antônio",1
"251280 Riacho dos Cavalos",1
"251290 Rio Tinto",4
"251310 Salgado de São Félix",2
"251315 Santa Cecília",2
"251370 Santa Rita",68
"251360 Santana dos Garrotes",2
"251392 São Bentinho",1
"251390 São Bento",4
"250070 São João do Rio do Peixe",1
"251450 São José de Piranhas",1
"251490 São Mamede",1
"251500 São Miguel de Taipu",2
"251510 São Sebastião de Lagoa de Roça",2
"251540 São Vicente do Seridó",6
"251530 Sapé",36
"251550 Serra Branca",3
"251580 Serra Redonda",2
"251597 Sobrado",1
"251600 Solânea",1
"251610 Soledade",7
"251620 Sousa",7
"251630 Sumé",3
"251640 Tacima",1
"251650 Taperoá",2
"251660 Tavares",3
"251670 Teixeira",5
"251675 Tenório",1
"251710 Várzea",1
"251740 Zabelê",3
"260005 Abreu e Lima",81
"260010 Afogados da Ingazeira",6
"260020 Afrânio",4
"260030 Agrestina",24
"260040 Água Preta",14
"260050 Águas Belas",25
"260060 Alagoinha",6
"260070 Aliança",23
"260080 Altinho",24
"260090 Amaraji",21
"260100 Angelim",3
"260105 Araçoiaba",17
"260110 Araripina",21
"260120 Arcoverde",42
"260130 Barra de Guabiraba",5
"260140 Barreiros",36
"260150 Belém de Maria",1
"260160 Belém do São Francisco",4
"260170 Belo Jardim",49
"260180 Betânia",3
"260190 Bezerros",40
"260200 Bodocó",6
"260210 Bom Conselho",31
"260220 Bom Jardim",3
"260230 Bonito",41
"260240 Brejão",9
"260250 Brejinho",1
"260260 Brejo da Madre de Deus",38
"260270 Buenos Aires",16
"260280 Buíque",11
"260290 Cabo de Santo Agostinho",166
"260300 Cabrobó",12
"260310 Cachoeirinha",13
"260320 Caetés",5
"260330 Calçado",3
"260340 Calumbi",2
"260345 Camaragibe",217
"260350 Camocim de São Félix",11
"260360 Camutanga",3
"260370 Canhotinho",11
"260380 Capoeiras",6
"260390 Carnaíba",3
"260400 Carpina",51
"260410 Caruaru",220
"260415 Casinhas",4
"260420 Catende",34
"260430 Cedro",7
"260440 Chã de Alegria",22
"260450 Chã Grande",19
"260460 Condado",19
"260470 Correntes",6
"260480 Cortês",5
"260490 Cumaru",10
"260500 Cupira",6
"260510 Custódia",13
"260515 Dormentes",2
"260520 Escada",44
"260530 Exu",8
"260540 Feira Nova",21
"260550 Ferreiros",3
"260560 Flores",5
"260570 Floresta",15
"260580 Frei Miguelinho",12
"260590 Gameleira",11
"260600 Garanhuns",65
"260610 Glória do Goitá",25
"260620 Goiana",85
"260640 Gravatá",72
"260650 Iati",7
"260660 Ibimirim",8
"260670 Ibirajuba",4
"260680 Igarassu",88
"260690 Iguaracy",2
"260760 Ilha de Itamaracá",29
"260700 Inajá",9
"260720 Ipojuca",68
"260730 Ipubi",9
"260740 Itacuruba",1
"260750 Itaíba",10
"260765 Itambé",23
"260770 Itapetim",3
"260775 Itapissuma",45
"260780 Itaquitinga",14
"260790 Jaboatão dos Guararapes",872
"260795 Jaqueira",3
"260800 Jataúba",13
"260805 Jatobá",7
"260810 João Alfredo",5
"260820 Joaquim Nabuco",6
"260825 Jucati",2
"260830 Jupi",8
"260840 Jurema",4
"260850 Lagoa de Itaenga",12
"260845 Lagoa do Carro",8
"260870 Lagoa dos Gatos",7
"260875 Lagoa Grande",26
"260880 Lajedo",19
"260890 Limoeiro",25
"260900 Macaparana",14
"260910 Machados",2
"260915 Manari",3
"260920 Maraial",5
"260930 Mirandiba",4
"261430 Moreilândia",1
"260940 Moreno",78
"260950 Nazaré da Mata",30
"260960 Olinda",594
"260970 Orobó",5
"260990 Ouricuri",15
"261000 Palmares",43
"261010 Palmeirina",4
"261020 Panelas",18
"261030 Paranatama",1
"261040 Parnamirim",11
"261050 Passira",14
"261060 Paudalho",38
"261070 Paulista",288
"261080 Pedra",7
"261090 Pesqueira",31
"261100 Petrolândia",8
"261110 Petrolina",287
"261120 Poção",4
"261130 Pombos",25
"261140 Primavera",7
"261150 Quipapá",10
"261153 Quixaba",2
"261160 Recife",3028
"261170 Riacho das Almas",8
"261180 Ribeirão",27
"261190 Rio Formoso",13
"261200 Sairé",3
"261220 Salgueiro",11
"261230 Saloá",6
"261240 Sanharó",13
"261245 Santa Cruz",3
"261247 Santa Cruz da Baixa Verde",2
"261250 Santa Cruz do Capibaribe",82
"261255 Santa Filomena",5
"261260 Santa Maria da Boa Vista",24
"261270 Santa Maria do Cambucá",4
"261280 Santa Terezinha",2
"261290 São Benedito do Sul",3
"261300 São Bento do Una",22
"261310 São Caitano",28
"261320 São João",3
"261330 São Joaquim do Monte",20
"261340 São José da Coroa Grande",9
"261350 São José do Belmonte",6
"261360 São José do Egito",10
"261370 São Lourenço da Mata",143
"261380 São Vicente Ferrer",13
"261390 Serra Talhada",25
"261400 Serrita",5
"261410 Sertânia",11
"261420 Sirinhaém",26
"261440 Solidão",1
"261450 Surubim",12
"261460 Tabira",6
"261470 Tacaimbó",8
"261480 Tacaratu",1
"261485 Tamandaré",22
"261500 Taquaritinga do Norte",14
"261510 Terezinha",1
"261530 Timbaúba",22
"261540 Toritama",37
"261550 Tracunhaém",11
"261560 Trindade",20
"261570 Triunfo",2
"261580 Tupanatinga",10
"261590 Tuparetama",2
"261600 Venturosa",7
"261618 Vertente do Lério",3
"261620 Vertentes",9
"261630 Vicência",12
"261640 Vitória de Santo Antão",145
"261650 Xexéu",9
"270010 Água Branca",7
"270020 Anadia",5
"270030 Arapiraca",54
"270040 Atalaia",30
"270050 Barra de Santo Antônio",24
"270060 Barra de São Miguel",7
"270070 Batalha",7
"270100 Boca da Mata",6
"270110 Branquinha",7
"270120 Cacimbinhas",4
"270130 Cajueiro",22
"270135 Campestre",2
"270140 Campo Alegre",12
"270150 Campo Grande",1
"270160 Canapi",11
"270170 Capela",7
"270180 Carneiros",3
"270190 Chã Preta",2
"270200 Coité do Nóia",2
"270210 Colônia Leopoldina",6
"270220 Coqueiro Seco",6
"270230 Coruripe",19
"270235 Craíbas",4
"270240 Delmiro Gouveia",24
"270260 Feira Grande",1
"270270 Feliz Deserto",1
"270280 Flexeiras",9
"270290 Girau do Ponciano",4
"270310 Igaci",3
"270320 Igreja Nova",6
"270330 Inhapi",9
"270340 Jacaré dos Homens",1
"270350 Jacuípe",3
"270360 Japaratinga",8
"270370 Jaramataia",1
"270375 Jequiá da Praia",4
"270380 Joaquim Gomes",14
"270390 Jundiá",3
"270400 Junqueiro",1
"270410 Lagoa da Canoa",3
"270420 Limoeiro de Anadia",1
"270430 Maceió",892
"270440 Major Isidoro",6
"270450 Maragogi",28
"270460 Maravilha",3
"270470 Marechal Deodoro",45
"270480 Maribondo",2
"270500 Mata Grande",7
"270510 Matriz de Camaragibe",19
"270520 Messias",20
"270530 Minador do Negrão",1
"270550 Murici",24
"270560 Novo Lino",4
"270570 Olho d'Água das Flores",14
"270610 Ouro Branco",2
"270620 Palestina",2
"270630 Palmeira dos Índios",2
"270640 Pão de Açúcar",1
"270644 Paripueira",20
"270650 Passo de Camaragibe",8
"270670 Penedo",23
"270680 Piaçabuçu",8
"270690 Pilar",38
"270700 Pindoba",1
"270710 Piranhas",4
"270720 Poço das Trincheiras",2
"270730 Porto Calvo",18
"270740 Porto de Pedras",3
"270750 Porto Real do Colégio",3
"270760 Quebrangulo",1
"270770 Rio Largo",124
"270780 Roteiro",3
"270790 Santa Luzia do Norte",7
"270800 Santana do Ipanema",24
"270810 Santana do Mundaú",5
"270820 São Brás",2
"270830 São José da Laje",17
"270840 São José da Tapera",7
"270850 São Luís do Quitunde",12
"270860 São Miguel dos Campos",27
"270870 São Miguel dos Milagres",1
"270880 São Sebastião",3
"270890 Satuba",10
"270895 Senador Rui Palmeira",6
"270910 Taquarana",1
"270915 Teotônio Vilela",13
"270920 Traipu",3
"270930 União dos Palmares",13
"270940 Viçosa",8
"280020 Aquidabã",14
"280030 Aracaju",429
"280040 Arauá",17
"280050 Areia Branca",9
"280060 Barra dos Coqueiros",43
"280067 Boquim",20
"280070 Brejo Grande",2
"280100 Campo do Brito",13
"280110 Canhoba",1
"280120 Canindé de São Francisco",17
"280130 Capela",31
"280140 Carira",4
"280150 Carmópolis",16
"280160 Cedro de São João",2
"280170 Cristinápolis",18
"280190 Cumbe",1
"280200 Divina Pastora",8
"280210 Estância",84
"280220 Feira Nova",14
"280230 Frei Paulo",8
"280240 Gararu",3
"280250 General Maynard",1
"280260 Gracho Cardoso",2
"280270 Ilha das Flores",2
"280280 Indiaroba",20
"280290 Itabaiana",62
"280300 Itabaianinha",52
"280310 Itabi",2
"280320 Itaporanga d'Ajuda",43
"280330 Japaratuba",10
"280340 Japoatã",5
"280350 Lagarto",47
"280360 Laranjeiras",26
"280370 Macambira",5
"280380 Malhada dos Bois",2
"280390 Malhador",7
"280400 Maruim",29
"280410 Moita Bonita",7
"280420 Monte Alegre de Sergipe",6
"280430 Muribeca",6
"280440 Neópolis",10
"280445 Nossa Senhora Aparecida",3
"280450 Nossa Senhora da Glória",8
"280460 Nossa Senhora das Dores",19
"280470 Nossa Senhora de Lourdes",3
"280480 Nossa Senhora do Socorro",297
"280490 Pacatuba",8
"280500 Pedra Mole",1
"280510 Pedrinhas",7
"280520 Pinhão",4
"280530 Pirambu",13
"280540 Poço Redondo",11
"280550 Poço Verde",7
"280560 Porto da Folha",8
"280570 Propriá",24
"280580 Riachão do Dantas",8
"280590 Riachuelo",22
"280600 Ribeirópolis",1
"280610 Rosário do Catete",23
"280620 Salgado",9
"280630 Santa Luzia do Itanhy",16
"280650 Santa Rosa de Lima",4
"280640 Santana do São Francisco",1
"280660 Santo Amaro das Brotas",22
"280670 São Cristóvão",96
"280680 São Domingos",8
"280690 São Francisco",2
"280710 Simão Dias",12
"280720 Siriri",8
"280740 Tobias Barreto",13
"280750 Tomar do Geru",16
"280760 Umbaúba",35
"290020 Abaré",3
"290030 Acajutiba",4
"290035 Adustina",1
"290040 Água Fria",4
"290060 Aiquara",1
"290070 Alagoinhas",84
"290080 Alcobaça",47
"290090 Almadina",1
"290100 Amargosa",13
"290110 Amélia Rodrigues",5
"290115 América Dourada",2
"290130 Andaraí",2
"290135 Andorinha",4
"290140 Angical",2
"290150 Anguera",2
"290160 Antas",1
"290170 Antônio Cardoso",3
"290180 Antônio Gonçalves",1
"290190 Aporá",1
"290195 Apuarema",2
"290200 Aracatu",2
"290210 Araci",11
"290220 Aramari",3
"290225 Arataca",1
"290230 Aratuípe",2
"290240 Aurelino Leal",4
"290250 Baianópolis",1
"290270 Barra",21
"290280 Barra da Estiva",5
"290290 Barra do Choça",8
"290300 Barra do Mendes",5
"290310 Barra do Rocha",1
"290320 Barreiras",73
"290323 Barro Alto",1
"290330 Barro Preto",1
"290327 Barrocas",2
"290340 Belmonte",16
"290350 Belo Campo",7
"290360 Biritinga",4
"290370 Boa Nova",3
"290380 Boa Vista do Tupim",1
"290390 Bom Jesus da Lapa",8
"290395 Bom Jesus da Serra",2
"290400 Boninal",2
"290405 Bonito",4
"290410 Boquira",1
"290420 Botuporã",2
"290430 Brejões",3
"290440 Brejolândia",1
"290460 Brumado",2
"290470 Buerarema",3
"290475 Buritirama",3
"290480 Caatiba",3
"290490 Cachoeira",4
"290520 Caetité",6
"290530 Cafarnaum",1
"290540 Cairu",5
"290560 Camacan",6
"290570 Camaçari",113
"290580 Camamu",5
"290590 Campo Alegre de Lourdes",2
"290600 Campo Formoso",17
"290620 Canarana",2
"290630 Canavieiras",9
"290640 Candeal",1
"290650 Candeias",38
"290670 Cândido Sales",14
"290680 Cansanção",8
"290682 Canudos",6
"290685 Capela do Alto Alegre",4
"290687 Capim Grosso",5
"290690 Caravelas",24
"290700 Cardeal da Silva",2
"290710 Carinhanha",2
"290720 Casa Nova",23
"290730 Castro Alves",9
"290750 Catu",8
"290760 Central",3
"290770 Chorrochó",1
"290780 Cícero Dantas",5
"290790 Cipó",1
"290800 Coaraci",1
"290820 Conceição da Feira",6
"290830 Conceição do Almeida",2
"290840 Conceição do Coité",13
"290850 Conceição do Jacuípe",10
"290860 Conde",9
"290870 Condeúba",2
"290890 Coração de Maria",14
"290900 Cordeiros",4
"290910 Coribe",1
"290920 Coronel João Sá",8
"290930 Correntina",6
"290940 Cotegipe",4
"290960 Crisópolis",1
"290980 Cruz das Almas",1
"290990 Curaçá",7
"291000 Dário Meira",7
"291005 Dias d'Ávila",28
"291010 Dom Basílio",1
"291020 Dom Macedo Costa",1
"291030 Elísio Medrado",1
"291040 Encruzilhada",7
"291050 Entre Rios",10
"291060 Esplanada",14
"291070 Euclides da Cunha",8
"291072 Eunápolis",51
"291075 Fátima",2
"291080 Feira de Santana",366
"291085 Filadélfia",2
"291090 Firmino Alves",1
"291100 Floresta Azul",1
"291110 Formosa do Rio Preto",4
"291120 Gandu",3
"291140 Glória",5
"291150 Gongogi",1
"291160 Governador Mangabeira",5
"291170 Guanambi",11
"291185 Heliópolis",1
"291190 Iaçu",5
"291210 Ibicaraí",1
"291220 Ibicoara",3
"291230 Ibicuí",6
"291240 Ibipeba",1
"291260 Ibiquera",4
"291270 Ibirapitanga",6
"291290 Ibirataia",3
"291300 Ibitiara",1
"291310 Ibititá",4
"291320 Ibotirama",12
"291340 Igaporã",3
"291345 Igrapiúna",1
"291350 Iguaí",3
"291360 Ilhéus",164
"291370 Inhambupe",5
"291380 Ipecaetá",2
"291390 Ipiaú",22
"291400 Ipirá",1
"291420 Irajuba",1
"291440 Iraquara",2
"291450 Irará",2
"291460 Irecê",46
"291465 Itabela",15
"291470 Itaberaba",14
"291480 Itabuna",65
"291490 Itacaré",19
"291500 Itaeté",3
"291510 Itagi",3
"291520 Itagibá",3
"291530 Itagimirim",2
"291535 Itaguaçu da Bahia",5
"291550 Itajuípe",6
"291560 Itamaraju",47
"291570 Itamari",2
"291580 Itambé",23
"291600 Itanhém",3
"291610 Itaparica",7
"291630 Itapebi",5
"291640 Itapetinga",27
"291650 Itapicuru",6
"291660 Itapitanga",4
"291670 Itaquara",2
"291680 Itarantim",4
"291685 Itatim",1
"291690 Itiruçu",4
"291700 Itiúba",11
"291710 Itororó",6
"291720 Ituaçu",5
"291730 Ituberá",2
"291733 Iuiú",1
"291750 Jacobina",24
"291760 Jaguaquara",13
"291770 Jaguarari",11
"291780 Jaguaripe",3
"291790 Jandaíra",13
"291800 Jequié",85
"291810 Jeremoabo",7
"291820 Jiquiriçá",5
"291830 Jitaúna",2
"291835 João Dourado",14
"291840 Juazeiro",214
"291845 Jucuruçu",4
"291850 Jussara",1
"291855 Jussari",1
"291870 Lafaiete Coutinho",1
"291875 Lagoa Real",2
"291880 Laje",3
"291890 Lajedão",2
"291915 Lapão",5
"291920 Lauro de Freitas",148
"291930 Lençóis",2
"291950 Livramento de Nossa Senhora",1
"291955 Luís Eduardo Magalhães",7
"291960 Macajuba",1
"291970 Macarani",4
"291990 Macururé",2
"291992 Madre de Deus",7
"291995 Maetinga",1
"292010 Mairi",8
"292020 Malhada",2
"292040 Manoel Vitorino",3
"292045 Mansidão",1
"292050 Maracás",4
"292060 Maragogipe",5
"292070 Maraú",5
"292090 Mascote",1
"292100 Mata de São João",17
"292105 Matina",1
"292110 Medeiros Neto",15
"292120 Miguel Calmon",4
"292130 Milagres",3
"292140 Mirangaba",2
"292145 Mirante",1
"292150 Monte Santo",1
"292170 Morro do Chapéu",21
"292190 Mucugê",1
"292200 Mucuri",22
"292205 Mulungu do Morro",2
"292210 Mundo Novo",4
"292220 Muniz Ferreira",1
"292225 Muquém de São Francisco",2
"292230 Muritiba",1
"292240 Mutuípe",4
"292250 Nazaré",12
"292260 Nilo Peçanha",2
"292265 Nordestina",4
"292270 Nova Canaã",3
"292275 Nova Ibiá",1
"292280 Nova Itarana",2
"292285 Nova Redenção",1
"292290 Nova Soure",9
"292300 Nova Viçosa",24
"292305 Novo Triunfo",2
"292310 Olindina",4
"292320 Oliveira dos Brejinhos",2
"292330 Ouriçangas",1
"292335 Ourolândia",5
"292340 Palmas de Monte Alto",1
"292360 Paramirim",1
"292370 Paratinga",1
"292380 Paripiranga",4
"292400 Paulo Afonso",61
"292410 Pedrão",2
"292420 Pedro Alexandre",2
"292430 Piatã",3
"292440 Pilão Arcado",4
"292460 Pindobaçu",7
"292467 Piraí do Norte",1
"292470 Piripá",4
"292480 Piritiba",2
"292490 Planaltino",1
"292500 Planalto",21
"292510 Poções",17
"292520 Pojuca",4
"292525 Ponto Novo",5
"292530 Porto Seguro",77
"292540 Potiraguá",1
"292550 Prado",19
"292560 Presidente Dutra",2
"292570 Presidente Jânio Quadros",1
"292575 Presidente Tancredo Neves",6
"292580 Queimadas",1
"292590 Quijingue",1
"292593 Quixabeira",1
"292595 Rafael Jambeiro",2
"292600 Remanso",10
"292610 Retirolândia",2
"292620 Riachão das Neves",5
"292630 Riachão do Jacuípe",1
"292640 Riacho de Santana",4
"292650 Ribeira do Amparo",1
"292660 Ribeira do Pombal",2
"292665 Ribeirão do Largo",4
"292690 Rio do Pires",1
"292700 Rio Real",19
"292710 Rodelas",3
"292720 Ruy Barbosa",3
"292730 Salinas da Margarida",4
"292740 Salvador",2327
"292750 Santa Bárbara",8
"292770 Santa Cruz Cabrália",21
"292780 Santa Cruz da Vitória",2
"292790 Santa Inês",3
"292805 Santa Luzia",2
"292810 Santa Maria da Vitória",6
"292840 Santa Rita de Cássia",9
"292800 Santaluz",9
"292820 Santana",1
"292830 Santanópolis",1
"292860 Santo Amaro",15
"292870 Santo Antônio de Jesus",21
"292880 Santo Estêvão",13
"292890 São Desidério",2
"292910 São Felipe",3
"292900 São Félix",2
"292905 São Félix do Coribe",1
"292920 São Francisco do Conde",21
"292925 São Gabriel",4
"292930 São Gonçalo dos Campos",21
"292935 São José da Vitória",4
"292937 São José do Jacuípe",2
"292940 São Miguel das Matas",2
"292950 São Sebastião do Passé",17
"292960 Sapeaçu",2
"292970 Sátiro Dias",2
"292975 Saubara",5
"292980 Saúde",2
"292990 Seabra",2
"293000 Sebastião Laranjeiras",2
"293010 Senhor do Bonfim",30
"293020 Sento Sé",18
"293015 Serra do Ramalho",3
"293040 Serra Preta",2
"293050 Serrinha",13
"293060 Serrolândia",4
"293070 Simões Filho",96
"293075 Sítio do Mato",1
"293077 Sobradinho",17
"293080 Souto Soares",4
"293100 Tanhaçu",3
"293105 Tanque Novo",1
"293110 Tanquinho",4
"293120 Taperoá",2
"293130 Tapiramutá",2
"293135 Teixeira de Freitas",201
"293140 Teodoro Sampaio",1
"293150 Teofilândia",8
"293160 Teolândia",2
"293170 Terra Nova",7
"293180 Tremedal",2
"293190 Tucano",4
"293200 Uauá",19
"293210 Ubaíra",4
"293220 Ubaitaba",3
"293230 Ubatã",3
"293240 Uibaí",3
"293245 Umburanas",2
"293250 Una",4
"293270 Uruçuca",22
"293280 Utinga",5
"293290 Valença",26
"293300 Valente",5
"293305 Várzea da Roça",1
"293315 Várzea Nova",11
"293317 Varzedo",3
"293320 Vera Cruz",13
"293325 Vereda",5
"293330 Vitória da Conquista",94
"293340 Wagner",1
"293350 Wenceslau Guimarães",5
"293360 Xique-Xique",19
"310010 Abadia dos Dourados",1
"310020 Abaeté",1
"310030 Abre Campo",2
"310050 Açucena",2
"310060 Água Boa",2
"310070 Água Comprida",1
"310080 Aguanil",1
"310090 Águas Formosas",4
"310100 Águas Vermelhas",1
"310110 Aimorés",3
"310130 Alagoa",1
"310150 Além Paraíba",25
"310160 Alfenas",26
"310163 Alfredo Vasconcelos",1
"310170 Almenara",27
"310180 Alpercata",7
"310190 Alpinópolis",8
"310200 Alterosa",5
"315350 Alto Jequitibá",2
"310210 Alto Rio Doce",1
"310220 Alvarenga",1
"310230 Alvinópolis",1
"310260 Andradas",1
"310280 Andrelândia",1
"310290 Antônio Carlos",2
"310300 Antônio Dias",3
"310340 Araçuaí",7
"310350 Araguari",55
"310370 Araponga",1
"310390 Araújos",1
"310400 Araxá",52
"310410 Arceburgo",1
"310420 Arcos",4
"310430 Areado",1
"310450 Arinos",7
"310460 Astolfo Dutra",7
"310470 Ataléia",6
"310480 Augusto de Lima",1
"310490 Baependi",1
"310500 Baldim",1
"310510 Bambuí",4
"310520 Bandeira",1
"310540 Barão de Cocais",6
"310560 Barbacena",47
"310590 Barroso",2
"310600 Bela Vista de Minas",3
"310610 Belmiro Braga",1
"310620 Belo Horizonte",1586
"310630 Belo Oriente",28
"310640 Belo Vale",1
"310670 Betim",271
"310690 Bicas",11
"310710 Boa Esperança",9
"310730 Bocaiúva",15
"310740 Bom Despacho",6
"310750 Bom Jardim de Minas",2
"310770 Bom Jesus do Amparo",2
"310780 Bom Jesus do Galho",5
"310790 Bom Repouso",1
"310800 Bom Sucesso",7
"310820 Bonfinópolis de Minas",1
"310825 Bonito de Minas",1
"310830 Borda da Mata",3
"310840 Botelhos",1
"310850 Botumirim",1
"310870 Brás Pires",2
"310855 Brasilândia de Minas",2
"310860 Brasília de Minas",4
"310880 Braúnas",3
"310890 Brazópolis",4
"310900 Brumadinho",16
"310920 Buenópolis",7
"310925 Bugre",1
"310930 Buritis",1
"310940 Buritizeiro",18
"310270 Cachoeira de Pajeú",1
"310990 Caetanópolis",6
"311000 Caeté",12
"311020 Cajuri",1
"311030 Caldas",3
"311050 Camanducaia",7
"311060 Cambuí",2
"311070 Cambuquira",2
"311080 Campanário",2
"311090 Campanha",6
"311110 Campina Verde",4
"311120 Campo Belo",17
"311130 Campo do Meio",2
"311140 Campo Florido",2
"311150 Campos Altos",9
"311180 Canápolis",2
"311200 Candeias",3
"311210 Caparaó",1
"311230 Capelinha",16
"311240 Capetinga",1
"311250 Capim Branco",1
"311265 Capitão Andrade",4
"311270 Capitão Enéas",13
"311290 Caputira",4
"311300 Caraí",11
"311310 Caranaíba",1
"311320 Carandaí",12
"311330 Carangola",1
"311340 Caratinga",40
"311350 Carbonita",1
"311360 Careaçu",2
"311370 Carlos Chagas",3
"311400 Carmo da Mata",2
"311410 Carmo de Minas",3
"311420 Carmo do Cajuru",4
"311430 Carmo do Paranaíba",2
"311440 Carmo do Rio Claro",1
"311450 Carmópolis de Minas",5
"311455 Carneirinho",1
"311460 Carrancas",3
"311470 Carvalhópolis",2
"311510 Cássia",4
"311530 Cataguases",7
"311540 Catas Altas da Noruega",1
"311545 Catuji",10
"311550 Caxambu",3
"311570 Central de Minas",1
"311580 Centralina",5
"311590 Chácara",2
"311600 Chalé",3
"311650 Claro dos Poções",3
"311660 Cláudio",10
"311690 Comendador Gomes",1
"311520 Conceição da Barra de Minas",2
"311730 Conceição das Alagoas",10
"311750 Conceição do Mato Dentro",1
"311760 Conceição do Pará",1
"311770 Conceição do Rio Verde",2
"311780 Conceição dos Ouros",2
"311783 Cônego Marinho",1
"311787 Confins",2
"311790 Congonhal",3
"311800 Congonhas",8
"311810 Congonhas do Norte",1
"311820 Conquista",4
"311830 Conselheiro Lafaiete",15
"311840 Conselheiro Pena",7
"311860 Contagem",398
"311880 Coração de Jesus",1
"311910 Corinto",17
"311920 Coroaci",2
"311930 Coromandel",3
"311940 Coronel Fabriciano",64
"311950 Coronel Murta",2
"311960 Coronel Pacheco",1
"311970 Coronel Xavier Chaves",1
"312000 Córrego Novo",2
"312015 Crisólita",3
"312020 Cristais",2
"312030 Cristália",1
"312050 Cristina",1
"312060 Crucilândia",3
"312080 Cruzília",4
"312083 Cuparaque",3
"312087 Curral de Dentro",1
"312090 Curvelo",48
"312110 Delfim Moreira",1
"312120 Delfinópolis",1
"312125 Delta",5
"312130 Descoberto",1
"312160 Diamantina",3
"312180 Dionísio",1
"312200 Divino",1
"312230 Divinópolis",64
"312235 Divisa Alegre",4
"312240 Divisa Nova",2
"312250 Dom Cavati",1
"312260 Dom Joaquim",1
"312290 Dona Eusébia",1
"312300 Dores de Campos",1
"312320 Dores do Indaiá",3
"312350 Douradoquara",1
"312352 Durandé",1
"312370 Engenheiro Caldas",2
"312380 Engenheiro Navarro",5
"312385 Entre Folhas",1
"312400 Ervália",7
"312410 Esmeraldas",63
"312420 Espera Feliz",6
"312430 Espinosa",17
"312450 Estiva",1
"312460 Estrela Dalva",3
"312500 Ewbank da Câmara",3
"312510 Extrema",2
"312560 Felisburgo",3
"312570 Felixlândia",12
"312580 Fernandes Tourinho",2
"312590 Ferros",1
"312595 Fervedouro",2
"312610 Formiga",35
"312630 Fortaleza de Minas",1
"312640 Fortuna de Minas",2
"312660 Francisco Dumont",1
"312670 Francisco Sá",2
"312675 Franciscópolis",3
"312680 Frei Gaspar",2
"312690 Frei Inocêncio",9
"312700 Fronteira",5
"312707 Fruta de Leite",2
"312710 Frutal",20
"312730 Galiléia",11
"312735 Glaucilândia",2
"312737 Goiabeira",2
"312738 Goianá",1
"312750 Gonzaga",1
"312760 Gouveia",2
"312770 Governador Valadares",409
