"cidade","hepatites"
"260040 Água Preta",4
"260050 Águas Belas",7
"260070 Aliança",6
"260080 Altinho",3
"260090 Amaraji",12
"260105 Araçoiaba",7
"260110 Araripina",8
"260120 Arcoverde",21
"260130 Barra de Guabiraba",1
"260140 Barreiros",2
"260160 Belém do São Francisco",2
"260170 Belo Jardim",12
"260180 Betânia",1
"260190 Bezerros",4
"260200 Bodocó",1
"260210 Bom Conselho",3
"260220 Bom Jardim",5
"260230 Bonito",7
"260260 Brejo da Madre de Deus",4
"260270 Buenos Aires",2
"260280 Buíque",14
"260290 Cabo de Santo Agostinho",34
"260300 Cabrobó",3
"260310 Cachoeirinha",2
"260320 Caetés",1
"260330 Calçado",5
"260345 Camaragibe",66
"260350 Camocim de São Félix",2
"260360 Camutanga",2
"260370 Canhotinho",9
"260390 Carnaíba",2
"260400 Carpina",14
"260410 Caruaru",115
"260420 Catende",3
"260440 Chã de Alegria",1
"260450 Chã Grande",1
"260460 Condado",2
"260490 Cumaru",3
"260500 Cupira",2
"260510 Custódia",1
"260515 Dormentes",2
"260520 Escada",10
"260530 Exu",1
"260540 Feira Nova",5
"260545 Fernando de Noronha",3
"260550 Ferreiros",1
"260570 Floresta",4
"260590 Gameleira",5
"260600 Garanhuns",28
"260610 Glória do Goitá",4
"260620 Goiana",27
"260630 Granito",1
"260640 Gravatá",15
"260650 Iati",1
"260660 Ibimirim",3
"260670 Ibirajuba",1
"260680 Igarassu",35
"260690 Iguaracy",2
"260760 Ilha de Itamaracá",6
"260720 Ipojuca",25
"260730 Ipubi",6
"260765 Itambé",5
"260770 Itapetim",3
"260775 Itapissuma",6
"260780 Itaquitinga",3
"260790 Jaboatão dos Guararapes",213
"260795 Jaqueira",1
"260800 Jataúba",2
"260805 Jatobá",2
"260810 João Alfredo",2
"260830 Jupi",1
"260840 Jurema",3
"260850 Lagoa de Itaenga",3
"260845 Lagoa do Carro",1
"260860 Lagoa do Ouro",1
"260875 Lagoa Grande",4
"260880 Lajedo",3
"260890 Limoeiro",7
"260900 Macaparana",2
"260910 Machados",3
"260915 Manari",1
"260920 Maraial",1
"260930 Mirandiba",2
"260940 Moreno",4
"260950 Nazaré da Mata",4
"260960 Olinda",111
"260970 Orobó",1
"260980 Orocó",1
"260990 Ouricuri",2
"261000 Palmares",17
"261020 Panelas",4
"261030 Paranatama",1
"261040 Parnamirim",2
"261050 Passira",5
"261060 Paudalho",13
"261070 Paulista",86
"261080 Pedra",3
"261090 Pesqueira",21
"261100 Petrolândia",1
"261110 Petrolina",116
"261120 Poção",1
"261130 Pombos",4
"261153 Quixaba",2
"261160 Recife",676
"261170 Riacho das Almas",1
"261180 Ribeirão",8
"261190 Rio Formoso",5
"261200 Sairé",3
"261220 Salgueiro",15
"261230 Saloá",1
"261245 Santa Cruz",3
"261247 Santa Cruz da Baixa Verde",4
"261250 Santa Cruz do Capibaribe",22
"261260 Santa Maria da Boa Vista",1
"261280 Santa Terezinha",3
"261300 São Bento do Una",3
"261310 São Caitano",3
"261320 São João",2
"261330 São Joaquim do Monte",1
"261340 São José da Coroa Grande",1
"261350 São José do Belmonte",2
"261360 São José do Egito",2
"261370 São Lourenço da Mata",51
"261380 São Vicente Ferrer",2
"261390 Serra Talhada",14
"261400 Serrita",1
"261410 Sertânia",4
"261420 Sirinhaém",6
"261450 Surubim",8
"261470 Tacaimbó",2
"261485 Tamandaré",2
"261500 Taquaritinga do Norte",1
"261510 Terezinha",1
"261530 Timbaúba",18
"261540 Toritama",6
"261550 Tracunhaém",2
"261560 Trindade",2
"261570 Triunfo",1
"261580 Tupanatinga",1
"261600 Venturosa",1
"261618 Vertente do Lério",1
"261630 Vicência",3
"261640 Vitória de Santo Antão",21
"261650 Xexéu",4
"270010 Água Branca",4
"270020 Anadia",2
"270030 Arapiraca",19
"270040 Atalaia",25
"270050 Barra de Santo Antônio",5
"270060 Barra de São Miguel",10
"270100 Boca da Mata",4
"270110 Branquinha",4
"270130 Cajueiro",13
"270135 Campestre",3
"270140 Campo Alegre",9
"270170 Capela",6
"270180 Carneiros",2
"270190 Chã Preta",1
"270200 Coité do Nóia",3
"270210 Colônia Leopoldina",3
"270220 Coqueiro Seco",5
"270230 Coruripe",12
"270235 Craíbas",2
"270240 Delmiro Gouveia",9
"270250 Dois Riachos",3
"270255 Estrela de Alagoas",2
"270260 Feira Grande",10
"270270 Feliz Deserto",1
"270280 Flexeiras",10
"270290 Girau do Ponciano",8
"270300 Ibateguara",7
"270310 Igaci",1
"270320 Igreja Nova",2
"270340 Jacaré dos Homens",1
"270350 Jacuípe",2
"270360 Japaratinga",1
"270375 Jequiá da Praia",4
"270380 Joaquim Gomes",3
"270390 Jundiá",2
"270400 Junqueiro",7
"270410 Lagoa da Canoa",2
"270420 Limoeiro de Anadia",3
"270430 Maceió",710
"270490 Mar Vermelho",1
"270450 Maragogi",12
"270470 Marechal Deodoro",26
"270480 Maribondo",4
"270500 Mata Grande",4
"270510 Matriz de Camaragibe",13
"270520 Messias",16
"270530 Minador do Negrão",1
"270550 Murici",6
"270570 Olho d'Água das Flores",2
"270600 Olivença",1
"270610 Ouro Branco",4
"270620 Palestina",3
"270630 Palmeira dos Índios",10
"270640 Pão de Açúcar",8
"270642 Pariconha",3
"270644 Paripueira",5
"270650 Passo de Camaragibe",1
"270660 Paulo Jacinto",4
"270670 Penedo",19
"270680 Piaçabuçu",4
"270690 Pilar",19
"270710 Piranhas",5
"270730 Porto Calvo",6
"270740 Porto de Pedras",5
"270750 Porto Real do Colégio",1
"270770 Rio Largo",55
"270780 Roteiro",1
"270790 Santa Luzia do Norte",5
"270800 Santana do Ipanema",7
"270810 Santana do Mundaú",1
"270820 São Brás",1
"270830 São José da Laje",10
"270840 São José da Tapera",2
"270850 São Luís do Quitunde",19
"270860 São Miguel dos Campos",27
"270870 São Miguel dos Milagres",4
"270880 São Sebastião",8
"270890 Satuba",14
"270900 Tanque d'Arca",1
"270910 Taquarana",4
"270915 Teotônio Vilela",15
"270920 Traipu",1
"270930 União dos Palmares",20
"270940 Viçosa",3
"280020 Aquidabã",3
"280030 Aracaju",393
"280040 Arauá",1
"280050 Areia Branca",7
"280060 Barra dos Coqueiros",16
"280067 Boquim",7
"280070 Brejo Grande",1
"280100 Campo do Brito",9
"280110 Canhoba",2
"280120 Canindé de São Francisco",9
"280130 Capela",11
"280140 Carira",4
"280150 Carmópolis",13
"280160 Cedro de São João",3
"280170 Cristinápolis",2
"280190 Cumbe",2
"280200 Divina Pastora",5
"280210 Estância",40
"280220 Feira Nova",1
"280240 Gararu",4
"280250 General Maynard",5
"280270 Ilha das Flores",4
"280280 Indiaroba",15
"280290 Itabaiana",20
"280300 Itabaianinha",11
"280310 Itabi",1
"280320 Itaporanga d'Ajuda",12
"280330 Japaratuba",4
"280340 Japoatã",8
"280350 Lagarto",14
"280360 Laranjeiras",5
"280370 Macambira",1
"280380 Malhada dos Bois",1
"280390 Malhador",5
"280400 Maruim",5
"280410 Moita Bonita",1
"280420 Monte Alegre de Sergipe",11
"280430 Muribeca",3
"280440 Neópolis",7
"280445 Nossa Senhora Aparecida",9
"280450 Nossa Senhora da Glória",14
"280460 Nossa Senhora das Dores",3
"280480 Nossa Senhora do Socorro",110
"280490 Pacatuba",9
"280510 Pedrinhas",2
"280530 Pirambu",1
"280540 Poço Redondo",6
"280550 Poço Verde",2
"280560 Porto da Folha",5
"280570 Propriá",28
"280580 Riachão do Dantas",7
"280590 Riachuelo",6
"280600 Ribeirópolis",2
"280610 Rosário do Catete",2
"280620 Salgado",2
"280630 Santa Luzia do Itanhy",6
"280650 Santa Rosa de Lima",6
"280660 Santo Amaro das Brotas",2
"280670 São Cristóvão",60
"280680 São Domingos",1
"280690 São Francisco",1
"280710 Simão Dias",11
"280720 Siriri",2
"280730 Telha",2
"280740 Tobias Barreto",8
"280750 Tomar do Geru",1
"280760 Umbaúba",8
"290010 Abaíra",1
"290020 Abaré",1
"290030 Acajutiba",4
"290040 Água Fria",3
"290060 Aiquara",2
"290070 Alagoinhas",65
"290080 Alcobaça",16
"290100 Amargosa",7
"290110 Amélia Rodrigues",6
"290115 América Dourada",9
"290120 Anagé",3
"290130 Andaraí",5
"290135 Andorinha",1
"290140 Angical",1
"290150 Anguera",1
"290160 Antas",2
"290170 Antônio Cardoso",2
"290180 Antônio Gonçalves",2
"290190 Aporá",1
"290195 Apuarema",3
"290205 Araças",2
"290200 Aracatu",2
"290210 Araci",6
"290240 Aurelino Leal",3
"290250 Baianópolis",2
"290260 Baixa Grande",2
"290270 Barra",9
"290280 Barra da Estiva",2
"290290 Barra do Choça",8
"290310 Barra do Rocha",1
"290320 Barreiras",60
"290323 Barro Alto",1
"290330 Barro Preto",3
"290327 Barrocas",8
"290340 Belmonte",19
"290350 Belo Campo",3
"290360 Biritinga",2
"290370 Boa Nova",1
"290380 Boa Vista do Tupim",2
"290390 Bom Jesus da Lapa",26
"290395 Bom Jesus da Serra",2
"290400 Boninal",1
"290405 Bonito",4
"290410 Boquira",4
"290430 Brejões",4
"290450 Brotas de Macaúbas",2
"290460 Brumado",11
"290470 Buerarema",7
"290475 Buritirama",4
"290490 Cachoeira",7
"290500 Caculé",3
"290510 Caém",3
"290520 Caetité",2
"290530 Cafarnaum",4
"290540 Cairu",7
"290560 Camacan",19
"290570 Camaçari",115
"290580 Camamu",6
"290590 Campo Alegre de Lourdes",1
"290600 Campo Formoso",23
"290610 Canápolis",1
"290620 Canarana",6
"290630 Canavieiras",30
"290640 Candeal",5
"290650 Candeias",26
"290660 Candiba",1
"290670 Cândido Sales",1
"290680 Cansanção",3
"290685 Capela do Alto Alegre",1
"290687 Capim Grosso",4
"290689 Caraíbas",1
"290690 Caravelas",5
"290700 Cardeal da Silva",1
"290710 Carinhanha",1
"290720 Casa Nova",4
"290730 Castro Alves",6
"290750 Catu",5
"290760 Central",9
"290770 Chorrochó",2
"290780 Cícero Dantas",1
"290790 Cipó",2
"290800 Coaraci",5
"290810 Cocos",2
"290820 Conceição da Feira",4
"290830 Conceição do Almeida",3
"290840 Conceição do Coité",4
"290850 Conceição do Jacuípe",8
"290860 Conde",11
"290870 Condeúba",1
"290880 Contendas do Sincorá",2
"290890 Coração de Maria",11
"290900 Cordeiros",2
"290920 Coronel João Sá",2
"290930 Correntina",2
"290940 Cotegipe",1
"290950 Cravolândia",1
"290970 Cristópolis",1
"290980 Cruz das Almas",8
"290990 Curaçá",3
"291000 Dário Meira",1
"291005 Dias d'Ávila",30
"291010 Dom Basílio",3
"291020 Dom Macedo Costa",2
"291040 Encruzilhada",5
"291050 Entre Rios",8
"291060 Esplanada",2
"291070 Euclides da Cunha",4
"291072 Eunápolis",93
"291080 Feira de Santana",535
"291100 Floresta Azul",1
"291110 Formosa do Rio Preto",6
"291120 Gandu",10
"291125 Gavião",1
"291130 Gentio do Ouro",1
"291140 Glória",5
"291150 Gongogi",4
"291160 Governador Mangabeira",3
"291170 Guanambi",23
"291180 Guaratinga",4
"291185 Heliópolis",3
"291190 Iaçu",14
"291210 Ibicaraí",4
"291220 Ibicoara",1
"291230 Ibicuí",1
"291240 Ibipeba",2
"291260 Ibiquera",1
"291270 Ibirapitanga",13
"291280 Ibirapuã",3
"291290 Ibirataia",11
"291300 Ibitiara",2
"291310 Ibititá",2
"291320 Ibotirama",11
"291345 Igrapiúna",4
"291350 Iguaí",2
"291360 Ilhéus",120
"291370 Inhambupe",6
"291380 Ipecaetá",1
"291390 Ipiaú",45
"291400 Ipirá",24
"291420 Irajuba",3
"291440 Iraquara",5
"291450 Irará",10
"291460 Irecê",17
"291465 Itabela",19
"291470 Itaberaba",13
"291480 Itabuna",146
"291490 Itacaré",8
"291510 Itagi",4
"291520 Itagibá",2
"291530 Itagimirim",2
"291535 Itaguaçu da Bahia",2
"291550 Itajuípe",9
"291560 Itamaraju",12
"291570 Itamari",3
"291580 Itambé",2
"291590 Itanagra",3
"291600 Itanhém",2
"291610 Itaparica",5
"291620 Itapé",3
"291630 Itapebi",2
"291640 Itapetinga",21
"291650 Itapicuru",4
"291680 Itarantim",1
"291685 Itatim",4
"291700 Itiúba",10
"291710 Itororó",7
"291730 Ituberá",9
"291733 Iuiú",1
"291750 Jacobina",16
"291760 Jaguaquara",13
"291770 Jaguarari",5
"291780 Jaguaripe",5
"291790 Jandaíra",3
"291800 Jequié",75
"291810 Jeremoabo",1
"291820 Jiquiriçá",1
"291830 Jitaúna",7
"291835 João Dourado",3
"291840 Juazeiro",203
"291850 Jussara",3
"291890 Lajedão",1
"291900 Lajedinho",1
"291910 Lamarão",2
"291915 Lapão",9
"291920 Lauro de Freitas",131
"291930 Lençóis",1
"291940 Licínio de Almeida",1
"291950 Livramento de Nossa Senhora",7
"291955 Luís Eduardo Magalhães",27
"291960 Macajuba",1
"291970 Macarani",2
"291992 Madre de Deus",6
"291995 Maetinga",3
"292000 Maiquinique",5
"292010 Mairi",1
"292040 Manoel Vitorino",4
"292050 Maracás",7
"292060 Maragogipe",9
"292070 Maraú",4
"292080 Marcionílio Souza",2
"292090 Mascote",2
"292100 Mata de São João",24
"292110 Medeiros Neto",4
"292120 Miguel Calmon",9
"292130 Milagres",3
"292140 Mirangaba",1
"292145 Mirante",3
"292150 Monte Santo",3
"292170 Morro do Chapéu",6
"292190 Mucugê",1
"292200 Mucuri",27
"292205 Mulungu do Morro",2
"292210 Mundo Novo",1
"292220 Muniz Ferreira",2
"292225 Muquém de São Francisco",2
"292230 Muritiba",7
"292240 Mutuípe",2
"292250 Nazaré",7
"292260 Nilo Peçanha",5
"292265 Nordestina",1
"292270 Nova Canaã",1
"292273 Nova Fátima",2
"292275 Nova Ibiá",1
"292285 Nova Redenção",1
"292290 Nova Soure",4
"292300 Nova Viçosa",5
"292303 Novo Horizonte",1
"292305 Novo Triunfo",5
"292310 Olindina",3
"292320 Oliveira dos Brejinhos",2
"292330 Ouriçangas",2
"292335 Ourolândia",5
"292340 Palmas de Monte Alto",1
"292350 Palmeiras",1
"292360 Paramirim",2
"292370 Paratinga",2
"292390 Pau Brasil",13
"292400 Paulo Afonso",5
"292405 Pé de Serra",2
"292410 Pedrão",1
"292440 Pilão Arcado",17
"292450 Pindaí",1
"292460 Pindobaçu",4
"292465 Pintadas",3
"292470 Piripá",3
"292480 Piritiba",3
"292500 Planalto",4
"292510 Poções",19
"292520 Pojuca",7
"292525 Ponto Novo",8
"292530 Porto Seguro",237
"292550 Prado",9
"292560 Presidente Dutra",1
"292570 Presidente Jânio Quadros",1
"292575 Presidente Tancredo Neves",5
"292580 Queimadas",1
"292590 Quijingue",3
"292595 Rafael Jambeiro",12
"292600 Remanso",10
"292610 Retirolândia",2
"292620 Riachão das Neves",1
"292630 Riachão do Jacuípe",6
"292650 Ribeira do Amparo",1
"292660 Ribeira do Pombal",3
"292670 Rio de Contas",2
"292680 Rio do Antônio",1
"292700 Rio Real",8
"292720 Ruy Barbosa",5
"292730 Salinas da Margarida",6
"292740 Salvador",1833
"292750 Santa Bárbara",3
"292760 Santa Brígida",4
"292770 Santa Cruz Cabrália",63
"292780 Santa Cruz da Vitória",1
"292790 Santa Inês",4
"292805 Santa Luzia",4
"292810 Santa Maria da Vitória",13
"292840 Santa Rita de Cássia",5
"292850 Santa Teresinha",2
"292800 Santaluz",3
"292860 Santo Amaro",14
"292870 Santo Antônio de Jesus",31
"292880 Santo Estêvão",11
"292890 São Desidério",6
"292895 São Domingos",1
"292910 São Felipe",4
"292900 São Félix",2
"292905 São Félix do Coribe",4
"292920 São Francisco do Conde",22
"292930 São Gonçalo dos Campos",2
"292935 São José da Vitória",4
"292940 São Miguel das Matas",1
"292950 São Sebastião do Passé",11
"292960 Sapeaçu",7
"292970 Sátiro Dias",1
"292975 Saubara",6
"292990 Seabra",5
"293010 Senhor do Bonfim",37
"293020 Sento Sé",3
"293015 Serra do Ramalho",5
"293040 Serra Preta",4
"293050 Serrinha",17
"293060 Serrolândia",1
"293070 Simões Filho",46
"293075 Sítio do Mato",5
"293077 Sobradinho",2
"293080 Souto Soares",2
"293090 Tabocas do Brejo Velho",1
"293100 Tanhaçu",2
"293110 Tanquinho",1
"293120 Taperoá",12
"293135 Teixeira de Freitas",101
"293150 Teofilândia",6
"293160 Teolândia",4
"293170 Terra Nova",3
"293180 Tremedal",2
"293190 Tucano",14
"293200 Uauá",4
"293220 Ubaitaba",4
"293230 Ubatã",6
"293240 Uibaí",11
"293245 Umburanas",32
"293250 Una",15
"293270 Uruçuca",8
"293280 Utinga",3
"293290 Valença",17
"293300 Valente",2
"293310 Várzea do Poço",5
"293315 Várzea Nova",4
"293317 Varzedo",4
"293320 Vera Cruz",13
"293330 Vitória da Conquista",170
"293340 Wagner",3
"293345 Wanderley",1
"293350 Wenceslau Guimarães",7
"293360 Xique-Xique",1
"310010 Abadia dos Dourados",6
"310020 Abaeté",6
"310030 Abre Campo",2
"310040 Acaiaca",5
"310050 Açucena",2
"310060 Água Boa",1
"310070 Água Comprida",1
"310080 Aguanil",2
"310090 Águas Formosas",10
"310110 Aimorés",12
"310120 Aiuruoca",1
"310140 Albertina",3
"310150 Além Paraíba",7
"310160 Alfenas",71
"310170 Almenara",8
"310180 Alpercata",4
"310190 Alpinópolis",8
"310200 Alterosa",1
"310205 Alto Caparaó",1
"315350 Alto Jequitibá",1
"310210 Alto Rio Doce",2
"310220 Alvarenga",2
"310230 Alvinópolis",1
"310260 Andradas",24
"310280 Andrelândia",1
"310285 Angelândia",2
"310290 Antônio Carlos",4
"310310 Antônio Prado de Minas",1
"310320 Araçaí",2
"310340 Araçuaí",9
"310350 Araguari",81
"310360 Arantina",2
"310375 Araporã",2
"310400 Araxá",72
"310410 Arceburgo",1
"310420 Arcos",12
"310430 Areado",5
"310440 Argirita",1
"310450 Arinos",2
"310470 Ataléia",2
"310480 Augusto de Lima",1
"310490 Baependi",9
"310500 Baldim",2
"310510 Bambuí",6
"310520 Bandeira",1
"310530 Bandeira do Sul",1
"310540 Barão de Cocais",9
"310560 Barbacena",44
"310570 Barra Longa",1
"310590 Barroso",11
"310600 Bela Vista de Minas",5
"310610 Belmiro Braga",2
"310620 Belo Horizonte",1886
"310630 Belo Oriente",22
"310640 Belo Vale",5
"310670 Betim",270
"310690 Bicas",5
"310710 Boa Esperança",10
"310730 Bocaiúva",9
"310740 Bom Despacho",12
"310750 Bom Jardim de Minas",1
"310760 Bom Jesus da Penha",1
"310780 Bom Jesus do Galho",2
"310790 Bom Repouso",1
"310800 Bom Sucesso",1
"310820 Bonfinópolis de Minas",2
"310830 Borda da Mata",6
"310840 Botelhos",4
"310870 Brás Pires",1
"310855 Brasilândia de Minas",1
"310880 Braúnas",1
"310890 Brazópolis",3
"310900 Brumadinho",26
"310910 Bueno Brandão",5
"310920 Buenópolis",3
"310925 Bugre",1
"310930 Buritis",3
"310940 Buritizeiro",12
"310950 Cabo Verde",2
"310960 Cachoeira da Prata",1
"310970 Cachoeira de Minas",2
"310980 Cachoeira Dourada",1
"310990 Caetanópolis",2
"311000 Caeté",8
"311010 Caiana",2
"311020 Cajuri",3
"311030 Caldas",2
"311050 Camanducaia",7
"311060 Cambuí",5
"311070 Cambuquira",4
"311080 Campanário",2
"311090 Campanha",3
"311100 Campestre",3
"311110 Campina Verde",6
"311115 Campo Azul",1
"311120 Campo Belo",13
"311130 Campo do Meio",2
"311140 Campo Florido",4
"311150 Campos Altos",2
"311160 Campos Gerais",3
"311190 Cana Verde",2
"311180 Canápolis",1
"311205 Cantagalo",1
"311220 Capela Nova",3
"311230 Capelinha",7
"311250 Capim Branco",2
"311260 Capinópolis",6
"311265 Capitão Andrade",3
"311270 Capitão Enéas",4
"311280 Capitólio",3
"311290 Caputira",2
"311300 Caraí",10
"311320 Carandaí",5
"311330 Carangola",30
"311340 Caratinga",41
"311350 Carbonita",2
"311360 Careaçu",3
"311370 Carlos Chagas",3
"311380 Carmésia",1
"311390 Carmo da Cachoeira",2
"311410 Carmo de Minas",8
"311420 Carmo do Cajuru",10
"311430 Carmo do Paranaíba",5
"311440 Carmo do Rio Claro",2
"311450 Carmópolis de Minas",3
"311455 Carneirinho",2
"311460 Carrancas",1
"311470 Carvalhópolis",2
"311480 Carvalhos",1
"311510 Cássia",6
"311530 Cataguases",23
"311545 Catuji",12
"311547 Catuti",1
"311550 Caxambu",9
"311560 Cedro do Abaeté",1
"311570 Central de Minas",2
"311580 Centralina",4
"311610 Chapada do Norte",4
"311615 Chapada Gaúcha",7
"311620 Chiador",1
"311630 Cipotânea",1
"311660 Cláudio",3
"311670 Coimbra",1
"311680 Coluna",6
"311700 Comercinho",2
"311710 Conceição da Aparecida",9
"311520 Conceição da Barra de Minas",2
"311730 Conceição das Alagoas",29
"311750 Conceição do Mato Dentro",4
"311760 Conceição do Pará",5
"311770 Conceição do Rio Verde",2
"311780 Conceição dos Ouros",2
"311787 Confins",4
"311790 Congonhal",2
"311800 Congonhas",5
"311810 Congonhas do Norte",1
"311820 Conquista",3
"311830 Conselheiro Lafaiete",40
"311840 Conselheiro Pena",6
"311860 Contagem",313
"311880 Coração de Jesus",1
"311890 Cordisburgo",1
"311900 Cordislândia",3
"311910 Corinto",2
"311920 Coroaci",6
"311930 Coromandel",7
"311940 Coronel Fabriciano",71
"311960 Coronel Pacheco",2
"311970 Coronel Xavier Chaves",2
"311980 Córrego Danta",2
"311990 Córrego do Bom Jesus",3
"311995 Córrego Fundo",2
"312015 Crisólita",1
"312020 Cristais",1
"312040 Cristiano Otoni",1
"312050 Cristina",1
"312070 Cruzeiro da Fortaleza",1
"312080 Cruzília",1
"312083 Cuparaque",1
"312090 Curvelo",23
"312100 Datas",1
"312120 Delfinópolis",7
"312125 Delta",9
"312130 Descoberto",1
"312140 Desterro de Entre Rios",1
"312150 Desterro do Melo",1
"312160 Diamantina",18
"312200 Divino",4
"312210 Divino das Laranjeiras",1
"312220 Divinolândia de Minas",1
"312230 Divinópolis",119
"312235 Divisa Alegre",3
"312240 Divisa Nova",1
"312247 Dom Bosco",3
"312250 Dom Cavati",1
"312280 Dom Viçoso",5
"312300 Dores de Campos",1
"312310 Dores de Guanhães",8
"312320 Dores do Indaiá",1
"312350 Douradoquara",1
"312360 Elói Mendes",5
"312370 Engenheiro Caldas",3
"312380 Engenheiro Navarro",4
"312385 Entre Folhas",1
"312390 Entre Rios de Minas",5
"312400 Ervália",1
"312410 Esmeraldas",25
"312420 Espera Feliz",8
"312430 Espinosa",5
"312440 Espírito Santo do Dourado",1
"312450 Estiva",2
"312480 Estrela do Sul",1
"312490 Eugenópolis",2
"312500 Ewbank da Câmara",1
"312510 Extrema",59
"312520 Fama",1
"312540 Felício dos Santos",1
"312560 Felisburgo",5
"312570 Felixlândia",6
"312580 Fernandes Tourinho",2
"312590 Ferros",7
"312595 Fervedouro",2
"312600 Florestal",4
"312610 Formiga",19
"312620 Formoso",1
"312640 Fortuna de Minas",2
"312650 Francisco Badaró",31
"312660 Francisco Dumont",3
"312670 Francisco Sá",6
"312675 Franciscópolis",15
"312700 Fronteira",14
"312705 Fronteira dos Vales",1
"312710 Frutal",79
"312730 Galiléia",2
"312733 Gameleiras",4
"312737 Goiabeira",1
"312738 Goianá",1
"312740 Gonçalves",2
"312750 Gonzaga",1
"312760 Gouveia",1
"312770 Governador Valadares",170
"312780 Grão Mogol",1
"312800 Guanhães",9
"312810 Guapé",1
"312820 Guaraciaba",2
"312825 Guaraciama",1
"312830 Guaranésia",20
"312840 Guarani",2
"312870 Guaxupé",26
"312880 Guidoval",3
"312900 Guiricema",2
"312920 Heliodora",2
"312930 Iapu",9
"312950 Ibiá",20
"312960 Ibiaí",6
"312970 Ibiraci",11
"312980 Ibirité",105
"312990 Ibitiúra de Minas",1
"313000 Ibituruna",1
"313005 Icaraí de Minas",3
"313010 Igarapé",8
"313020 Igaratinga",3
"313030 Iguatama",1
"313040 Ijaci",1
"313050 Ilicínea",2
"313060 Inconfidentes",3
"313070 Indianópolis",2
"313080 Ingaí",2
"313090 Inhapim",5
"313100 Inhaúma",1
"313110 Inimutaba",1
"313115 Ipaba",6
"313120 Ipanema",13
"313130 Ipatinga",116
"313150 Ipuiúna",2
"313160 Iraí de Minas",6
"313170 Itabira",40
"313180 Itabirinha",3
"313190 Itabirito",11
"313210 Itacarambi",6
"313220 Itaguara",1
"313230 Itaipé",12
"313240 Itajubá",39
"313250 Itamarandiba",3
"313260 Itamarati de Minas",3
"313270 Itambacuri",8
"313280 Itambé do Mato Dentro",1
"313290 Itamogi",3
"313300 Itamonte",4
"313310 Itanhandu",7
"313330 Itaobim",14
"313340 Itapagipe",14
"313350 Itapecerica",5
"313360 Itapeva",10
"313370 Itatiaiuçu",9
"313375 Itaú de Minas",5
"313380 Itaúna",69
"313400 Itinga",5
"313420 Ituiutaba",52
"313430 Itumirim",1
"313440 Iturama",14
"313450 Itutinga",1
"313460 Jaboticatubas",1
"313480 Jacuí",1
"313490 Jacutinga",19
"313500 Jaguaraçu",1
"313505 Jaíba",2
"313507 Jampruca",1
"313510 Janaúba",25
"313520 Januária",18
"313530 Japaraíba",3
"313535 Japonvar",1
"313540 Jeceaba",3
"313545 Jenipapo de Minas",3
"313550 Jequeri",1
"313560 Jequitaí",1
"313570 Jequitibá",1
"313580 Jequitinhonha",7
"313600 Joaíma",3
"313620 João Monlevade",45
"313630 João Pinheiro",4
"313652 José Gonçalves de Minas",2
"313655 José Raydan",3
"313665 Juatuba",15
"313670 Juiz de Fora",379
"313700 Ladainha",2
"313720 Lagoa da Prata",24
"313730 Lagoa dos Patos",1
"313740 Lagoa Dourada",2
"313750 Lagoa Formosa",1
"313753 Lagoa Grande",2
"313760 Lagoa Santa",37
"313770 Lajinha",4
"313780 Lambari",5
"313800 Laranjal",2
"313820 Lavras",54
"313835 Leme do Prado",3
"313840 Leopoldina",18
"313860 Lima Duarte",5
"313862 Limeira do Oeste",5
"313867 Luisburgo",2
"313880 Luz",4
"313890 Machacalis",2
"313900 Machado",15
"313920 Malacacheta",10
"313940 Manhuaçu",37
"313950 Manhumirim",3
"313960 Mantena",3
"313980 Mar de Espanha",6
"313970 Maravilhas",1
"313990 Maria da Fé",1
"314000 Mariana",19
"314015 Mário Campos",5
"314020 Maripá de Minas",2
"314030 Marliéria",1
"314050 Martinho Campos",3
"314055 Mata Verde",1
"314070 Mateus Leme",17
"314080 Matias Barbosa",4
"314085 Matias Cardoso",6
"314090 Matipó",2
"314100 Mato Verde",2
"314110 Matozinhos",11
"314120 Matutina",1
"314140 Medina",46
"314150 Mendes Pimentel",1
"314160 Mercês",1
"314170 Mesquita",6
"314180 Minas Novas",6
"314200 Mirabela",2
"314210 Miradouro",1
"314220 Miraí",2
"314230 Moeda",3
"314240 Moema",1
"314260 Monsenhor Paulo",3
"314270 Montalvânia",12
"314280 Monte Alegre de Minas",6
"314290 Monte Azul",2
"314300 Monte Belo",1
"314310 Monte Carmelo",24
"314315 Monte Formoso",1
"314320 Monte Santo de Minas",3
"314340 Monte Sião",3
"314330 Montes Claros",155
"314345 Montezuma",2
"314350 Morada Nova de Minas",3
"314380 Munhoz",2
"314390 Muriaé",90
"314400 Mutum",5
"314410 Muzambinho",9
"314420 Nacip Raydan",2
"314430 Nanuque",9
"314435 Naque",8
"314437 Natalândia",4
"314440 Natércia",2
"314450 Nazareno",1
"314460 Nepomuceno",2
"314467 Nova Belém",2
"314470 Nova Era",8
"314480 Nova Lima",76
"314500 Nova Ponte",5
"314505 Nova Porteirinha",2
"314510 Nova Resende",3
"314520 Nova Serrana",39
"313660 Nova União",1
"314530 Novo Cruzeiro",11
"314535 Novo Oriente de Minas",1
"314550 Olímpio Noronha",1
"314560 Oliveira",13
"314570 Oliveira Fortes",1
"314580 Onça de Pitangui",1
"314585 Oratórios",2
"314587 Orizânia",3
