"cidade","hanseniase"
"292650 Ribeira do Amparo",4
"292660 Ribeira do Pombal",40
"292665 Ribeirão do Largo",1
"292670 Rio de Contas",7
"292680 Rio do Antônio",6
"292690 Rio do Pires",1
"292700 Rio Real",25
"292710 Rodelas",2
"292720 Ruy Barbosa",5
"292730 Salinas da Margarida",21
"292740 Salvador",1687
"292750 Santa Bárbara",3
"292760 Santa Brígida",3
"292770 Santa Cruz Cabrália",134
"292780 Santa Cruz da Vitória",1
"292790 Santa Inês",1
"292805 Santa Luzia",24
"292810 Santa Maria da Vitória",46
"292840 Santa Rita de Cássia",148
"292850 Santa Teresinha",5
"292800 Santaluz",36
"292820 Santana",16
"292860 Santo Amaro",19
"292870 Santo Antônio de Jesus",32
"292880 Santo Estêvão",8
"292890 São Desidério",18
"292895 São Domingos",4
"292910 São Felipe",3
"292900 São Félix",1
"292905 São Félix do Coribe",18
"292920 São Francisco do Conde",6
"292925 São Gabriel",8
"292930 São Gonçalo dos Campos",5
"292935 São José da Vitória",5
"292937 São José do Jacuípe",8
"292940 São Miguel das Matas",4
"292950 São Sebastião do Passé",7
"292960 Sapeaçu",5
"292970 Sátiro Dias",2
"292975 Saubara",31
"292980 Saúde",4
"292990 Seabra",21
"293000 Sebastião Laranjeiras",7
"293010 Senhor do Bonfim",153
"293020 Sento Sé",68
"293015 Serra do Ramalho",24
"293030 Serra Dourada",7
"293040 Serra Preta",5
"293050 Serrinha",137
"293060 Serrolândia",9
"293070 Simões Filho",144
"293075 Sítio do Mato",26
"293076 Sítio do Quinto",1
"293077 Sobradinho",82
"293080 Souto Soares",22
"293090 Tabocas do Brejo Velho",7
"293100 Tanhaçu",5
"293105 Tanque Novo",3
"293110 Tanquinho",2
"293130 Tapiramutá",8
"293135 Teixeira de Freitas",199
"293140 Teodoro Sampaio",2
"293150 Teofilândia",49
"293160 Teolândia",5
"293170 Terra Nova",2
"293180 Tremedal",17
"293190 Tucano",85
"293200 Uauá",16
"293210 Ubaíra",4
"293220 Ubaitaba",19
"293230 Ubatã",4
"293240 Uibaí",11
"293245 Umburanas",6
"293250 Una",35
"293270 Uruçuca",4
"293280 Utinga",24
"293290 Valença",13
"293300 Valente",11
"293305 Várzea da Roça",9
"293310 Várzea do Poço",7
"293315 Várzea Nova",6
"293317 Varzedo",5
"293320 Vera Cruz",37
"293325 Vereda",8
"293330 Vitória da Conquista",293
"293340 Wagner",14
"293345 Wanderley",45
"293350 Wenceslau Guimarães",1
"293360 Xique-Xique",116
"310010 Abadia dos Dourados",1
"310020 Abaeté",23
"310030 Abre Campo",3
"310040 Acaiaca",1
"310050 Açucena",6
"310060 Água Boa",6
"310090 Águas Formosas",17
"310100 Águas Vermelhas",6
"310110 Aimorés",28
"310120 Aiuruoca",4
"310130 Alagoa",2
"310150 Além Paraíba",2
"310160 Alfenas",17
"310170 Almenara",116
"310180 Alpercata",6
"310190 Alpinópolis",7
"315350 Alto Jequitibá",2
"310210 Alto Rio Doce",1
"310230 Alvinópolis",3
"310240 Alvorada de Minas",1
"310250 Amparo do Serra",2
"310260 Andradas",2
"310280 Andrelândia",2
"310285 Angelândia",1
"310300 Antônio Dias",1
"310340 Araçuaí",98
"310350 Araguari",35
"310375 Araporã",14
"310390 Araújos",1
"310400 Araxá",32
"310410 Arceburgo",5
"310420 Arcos",9
"310450 Arinos",37
"310460 Astolfo Dutra",6
"310470 Ataléia",11
"310480 Augusto de Lima",1
"310500 Baldim",3
"310510 Bambuí",10
"310540 Barão de Cocais",2
"310560 Barbacena",10
"310620 Belo Horizonte",300
"310630 Belo Oriente",5
"310640 Belo Vale",2
"310650 Berilo",1
"310665 Berizal",2
"310670 Betim",74
"310690 Bicas",1
"310700 Biquinhas",1
"310710 Boa Esperança",9
"310730 Bocaiúva",5
"310740 Bom Despacho",25
"310760 Bom Jesus da Penha",1
"310780 Bom Jesus do Galho",11
"310790 Bom Repouso",1
"310800 Bom Sucesso",4
"310810 Bonfim",3
"310820 Bonfinópolis de Minas",1
"310825 Bonito de Minas",4
"310830 Borda da Mata",1
"310850 Botumirim",5
"310855 Brasilândia de Minas",11
"310860 Brasília de Minas",1
"310890 Brazópolis",2
"310900 Brumadinho",5
"310910 Bueno Brandão",2
"310920 Buenópolis",14
"310925 Bugre",2
"310930 Buritis",17
"310940 Buritizeiro",29
"310945 Cabeceira Grande",3
"310950 Cabo Verde",12
"310970 Cachoeira de Minas",3
"310270 Cachoeira de Pajeú",2
"311000 Caeté",1
"311010 Caiana",4
"311020 Cajuri",3
"311030 Caldas",1
"311040 Camacho",1
"311050 Camanducaia",3
"311060 Cambuí",4
"311070 Cambuquira",4
"311080 Campanário",10
"311090 Campanha",3
"311100 Campestre",15
"311110 Campina Verde",11
"311120 Campo Belo",9
"311130 Campo do Meio",3
"311140 Campo Florido",3
"311160 Campos Gerais",7
"311190 Cana Verde",1
"311170 Canaã",1
"311180 Canápolis",16
"311200 Candeias",2
"311205 Cantagalo",1
"311230 Capelinha",5
"311240 Capetinga",1
"311250 Capim Branco",1
"311260 Capinópolis",25
"311265 Capitão Andrade",6
"311270 Capitão Enéas",15
"311280 Capitólio",3
"311290 Caputira",3
"311300 Caraí",3
"311330 Carangola",1
"311340 Caratinga",22
"311350 Carbonita",2
"311360 Careaçu",1
"311370 Carlos Chagas",6
"311390 Carmo da Cachoeira",4
"311410 Carmo de Minas",3
"311420 Carmo do Cajuru",2
"311430 Carmo do Paranaíba",9
"311440 Carmo do Rio Claro",4
"311450 Carmópolis de Minas",1
"311455 Carneirinho",4
"311470 Carvalhópolis",1
"311500 Cascalho Rico",2
"311510 Cássia",5
"311530 Cataguases",2
"311540 Catas Altas da Noruega",1
"311545 Catuji",2
"311570 Central de Minas",10
"311580 Centralina",17
"311600 Chalé",1
"311615 Chapada Gaúcha",5
"311620 Chiador",1
"311630 Cipotânea",1
"311660 Cláudio",2
"311680 Coluna",1
"311700 Comercinho",2
"311710 Conceição da Aparecida",5
"311730 Conceição das Alagoas",21
"311740 Conceição de Ipanema",1
"311750 Conceição do Mato Dentro",2
"311760 Conceição do Pará",1
"311770 Conceição do Rio Verde",1
"311780 Conceição dos Ouros",1
"311783 Cônego Marinho",1
"311787 Confins",2
"311790 Congonhal",1
"311800 Congonhas",9
"311810 Congonhas do Norte",1
"311820 Conquista",1
"311830 Conselheiro Lafaiete",3
"311840 Conselheiro Pena",20
"311860 Contagem",80
"311880 Coração de Jesus",1
"311910 Corinto",7
"311920 Coroaci",5
"311930 Coromandel",21
"311940 Coronel Fabriciano",50
"311950 Coronel Murta",37
"311970 Coronel Xavier Chaves",2
"311995 Córrego Fundo",3
"312010 Couto de Magalhães de Minas",1
"312015 Crisólita",7
"312050 Cristina",2
"312060 Crucilândia",3
"312080 Cruzília",2
"312083 Cuparaque",96
"312087 Curral de Dentro",9
"312090 Curvelo",24
"312120 Delfinópolis",3
"312125 Delta",9
"312160 Diamantina",6
"312180 Dionísio",1
"312190 Divinésia",2
"312200 Divino",8
"312210 Divino das Laranjeiras",3
"312230 Divinópolis",29
"312235 Divisa Alegre",5
"312240 Divisa Nova",8
"312245 Divisópolis",2
"312247 Dom Bosco",3
"312250 Dom Cavati",5
"312260 Dom Joaquim",3
"312280 Dom Viçoso",1
"312320 Dores do Indaiá",18
"312340 Doresópolis",1
"312350 Douradoquara",1
"312352 Durandé",1
"312360 Elói Mendes",6
"312370 Engenheiro Caldas",8
"312385 Entre Folhas",1
"312400 Ervália",8
"312410 Esmeraldas",12
"312420 Espera Feliz",10
"312430 Espinosa",7
"312440 Espírito Santo do Dourado",2
"312450 Estiva",2
"312470 Estrela do Indaiá",5
"312480 Estrela do Sul",9
"312490 Eugenópolis",3
"312510 Extrema",19
"312560 Felisburgo",2
"312570 Felixlândia",4
"312580 Fernandes Tourinho",2
"312590 Ferros",1
"312595 Fervedouro",1
"312610 Formiga",8
"312620 Formoso",19
"312630 Fortaleza de Minas",1
"312650 Francisco Badaró",6
"312660 Francisco Dumont",5
"312670 Francisco Sá",5
"312675 Franciscópolis",4
"312680 Frei Gaspar",1
"312690 Frei Inocêncio",7
"312695 Frei Lagonegro",1
"312700 Fronteira",14
"312705 Fronteira dos Vales",2
"312707 Fruta de Leite",1
"312710 Frutal",21
"312720 Funilândia",1
"312730 Galiléia",7
"312735 Glaucilândia",4
"312737 Goiabeira",9
"312738 Goianá",1
"312760 Gouveia",1
"312770 Governador Valadares",380
"312790 Grupiara",1
"312800 Guanhães",6
"312810 Guapé",1
"312820 Guaraciaba",3
"312825 Guaraciama",1
"312830 Guaranésia",3
"312840 Guarani",3
"312860 Guarda-Mor",1
"312870 Guaxupé",11
"312880 Guidoval",1
"312890 Guimarânia",1
"312900 Guiricema",2
"312910 Gurinhatã",6
"312920 Heliodora",1
"312930 Iapu",5
"312950 Ibiá",7
"312960 Ibiaí",1
"312970 Ibiraci",1
"312980 Ibirité",31
"313005 Icaraí de Minas",4
"313010 Igarapé",12
"313030 Iguatama",3
"313050 Ilicínea",3
"313070 Indianópolis",10
"313080 Ingaí",3
"313090 Inhapim",5
"313100 Inhaúma",1
"313110 Inimutaba",2
"313115 Ipaba",27
"313120 Ipanema",7
"313130 Ipatinga",79
"313160 Iraí de Minas",2
"313170 Itabira",6
"313180 Itabirinha",16
"313190 Itabirito",4
"313210 Itacarambi",43
"313220 Itaguara",2
"313230 Itaipé",5
"313240 Itajubá",12
"313260 Itamarati de Minas",1
"313270 Itambacuri",87
"313290 Itamogi",5
"313320 Itanhomi",15
"313330 Itaobim",74
"313340 Itapagipe",4
"313350 Itapecerica",2
"313360 Itapeva",2
"313370 Itatiaiuçu",5
"313375 Itaú de Minas",4
"313380 Itaúna",8
"313400 Itinga",12
"313410 Itueta",4
"313420 Ituiutaba",113
"313440 Iturama",20
"313450 Itutinga",2
"313460 Jaboticatubas",2
"313470 Jacinto",15
"313480 Jacuí",1
"313490 Jacutinga",2
"313500 Jaguaraçu",3
"313505 Jaíba",6
"313507 Jampruca",7
"313510 Janaúba",28
"313520 Januária",82
"313535 Japonvar",2
"313545 Jenipapo de Minas",4
"313550 Jequeri",3
"313560 Jequitaí",1
"313580 Jequitinhonha",49
"313600 Joaíma",4
"313610 Joanésia",5
"313620 João Monlevade",6
"313630 João Pinheiro",45
"313640 Joaquim Felício",1
"313650 Jordânia",4
"313652 José Gonçalves de Minas",2
"313665 Juatuba",6
"313670 Juiz de Fora",20
"313690 Juruaia",1
"313695 Juvenília",6
"313700 Ladainha",5
"313710 Lagamar",2
"313720 Lagoa da Prata",19
"313740 Lagoa Dourada",1
"313750 Lagoa Formosa",6
"313753 Lagoa Grande",5
"313760 Lagoa Santa",13
"313770 Lajinha",2
"313810 Lassance",6
"313820 Lavras",27
"313835 Leme do Prado",3
"313840 Leopoldina",9
"313862 Limeira do Oeste",12
"313865 Lontra",1
"313867 Luisburgo",1
"313870 Luminárias",1
"313880 Luz",7
"313890 Machacalis",1
"313900 Machado",16
"313910 Madre de Deus de Minas",1
"313920 Malacacheta",3
"313930 Manga",36
"313940 Manhuaçu",25
"313950 Manhumirim",6
"313960 Mantena",101
"313980 Mar de Espanha",4
"313970 Maravilhas",1
"314000 Mariana",5
"314010 Marilac",7
"314050 Martinho Campos",3
"314053 Martins Soares",2
"314055 Mata Verde",3
"314070 Mateus Leme",8
"317150 Mathias Lobato",4
"314085 Matias Cardoso",3
"314090 Matipó",23
"314100 Mato Verde",7
"314110 Matozinhos",1
"314140 Medina",9
"314150 Mendes Pimentel",9
"314160 Mercês",4
"314170 Mesquita",1
"314180 Minas Novas",14
"314200 Mirabela",2
"314210 Miradouro",1
"314220 Miraí",2
"314230 Moeda",1
"314240 Moema",6
"314260 Monsenhor Paulo",3
"314270 Montalvânia",10
"314280 Monte Alegre de Minas",13
"314290 Monte Azul",4
"314300 Monte Belo",2
"314310 Monte Carmelo",12
"314320 Monte Santo de Minas",15
"314340 Monte Sião",2
"314330 Montes Claros",215
"314350 Morada Nova de Minas",9
"314390 Muriaé",17
"314400 Mutum",9
"314410 Muzambinho",1
"314420 Nacip Raydan",4
"314430 Nanuque",21
"314435 Naque",3
"314437 Natalândia",2
"314460 Nepomuceno",5
"314465 Ninheira",15
"314467 Nova Belém",3
"314470 Nova Era",2
"314480 Nova Lima",10
"314490 Nova Módica",9
"314500 Nova Ponte",1
"314505 Nova Porteirinha",1
"314510 Nova Resende",5
"314520 Nova Serrana",14
"313660 Nova União",2
"314530 Novo Cruzeiro",8
"314535 Novo Oriente de Minas",11
"314545 Olhos-d'Água",2
"314560 Oliveira",5
"314585 Oratórios",2
"314587 Orizânia",3
"314590 Ouro Branco",1
"314600 Ouro Fino",2
"314610 Ouro Preto",12
"314620 Ouro Verde de Minas",2
"314630 Padre Paraíso",3
"314650 Pains",1
"314670 Palma",1
"314675 Palmópolis",18
"314690 Papagaios",3
"314710 Pará de Minas",11
"314700 Paracatu",87
"314720 Paraguaçu",8
"314730 Paraisópolis",1
"314740 Paraopeba",11
"314780 Passa-Vinte",1
"314790 Passos",33
"314800 Patos de Minas",55
"314810 Patrocínio",47
"314850 Pavão",3
"314860 Peçanha",7
"314870 Pedra Azul",18
"314900 Pedra Dourada",1
"314910 Pedralva",2
"314915 Pedras de Maria da Cruz",4
"314930 Pedro Leopoldo",8
"314940 Pedro Teixeira",1
"314950 Pequeri",1
"314960 Pequi",1
"314970 Perdigão",3
"314980 Perdizes",14
"314990 Perdões",3
"314995 Periquito",9
"315000 Pescador",2
"315015 Piedade de Caratinga",4
"315050 Pimenta",2
"315053 Pingo-d'Água",5
"315057 Pintópolis",4
"315060 Piracema",1
"315070 Pirajuba",1
"315080 Piranga",1
"315110 Pirapetinga",1
"315120 Pirapora",77
"315140 Pitangui",5
"315150 Piumhi",12
"315160 Planura",4
"315170 Poço Fundo",4
"315180 Poços de Caldas",16
"315190 Pocrane",9
"315200 Pompéu",10
"315210 Ponte Nova",15
"315213 Ponto Chique",1
"315217 Ponto dos Volantes",3
"315220 Porteirinha",8
"315230 Porto Firme",1
"315240 Poté",10
"315250 Pouso Alegre",10
"315280 Prata",55
"315290 Pratápolis",1
"315310 Presidente Bernardes",1
"315320 Presidente Juscelino",1
"315330 Presidente Kubitschek",4
"315340 Presidente Olegário",7
"315360 Prudente de Morais",4
"315390 Raposos",1
"315400 Raul Soares",4
"315415 Reduto",2
"315430 Resplendor",8
"315445 Riachinho",6
"315460 Ribeirão das Neves",59
"315480 Rio Acima",4
"315490 Rio Casca",3
"315510 Rio do Prado",7
"315500 Rio Doce",1
"315520 Rio Espera",2
"315550 Rio Paranaíba",3
"315560 Rio Pardo de Minas",4
"315600 Rio Vermelho",6
"315620 Rochedo de Minas",2
"315630 Rodeiro",9
"315640 Romaria",5
"315645 Rosário da Limeira",1
"315650 Rubelita",9
"315660 Rubim",14
"315670 Sabará",14
"315690 Sacramento",8
"315700 Salinas",20
"315710 Salto da Divisa",11
"315720 Santa Bárbara",3
"315737 Santa Cruz de Salinas",5
"315760 Santa Fé de Minas",4
"315765 Santa Helena de Minas",1
"315770 Santa Juliana",14
"315780 Santa Luzia",45
"315790 Santa Margarida",2
"315800 Santa Maria de Itabira",2
"315810 Santa Maria do Salto",6
"315820 Santa Maria do Suaçuí",1
"315930 Santa Rita de Jacutinga",1
"315935 Santa Rita de Minas",4
"315950 Santa Rita do Itueto",12
"315960 Santa Rita do Sapucaí",1
"315980 Santa Vitória",18
"315830 Santana da Vargem",2
"315890 Santana do Manhuaçu",1
"315895 Santana do Paraíso",13
"315990 Santo Antônio do Amparo",4
"316000 Santo Antônio do Aventureiro",1
"316020 Santo Antônio do Itambé",2
"316030 Santo Antônio do Jacinto",3
"316040 Santo Antônio do Monte",6
"316060 Santo Hipólito",1
"316095 São Domingos das Dores",1
"316105 São Félix de Minas",3
"316110 São Francisco",62
"316120 São Francisco de Paula",2
"316130 São Francisco de Sales",1
"316140 São Francisco do Glória",1
"316150 São Geraldo",16
"316160 São Geraldo da Piedade",2
"316165 São Geraldo do Baixio",7
"316170 São Gonçalo do Abaeté",4
"312550 São Gonçalo do Rio Preto",5
"316200 São Gonçalo do Sapucaí",3
"316210 São Gotardo",45
"316220 São João Batista do Glória",2
"316240 São João da Ponte",3
"316245 São João das Missões",22
"316250 São João del Rei",5
"316255 São João do Manhuaçu",3
"316257 São João do Manteninha",7
"316260 São João do Oriente",8
"316265 São João do Pacuí",1
"316270 São João do Paraíso",7
"316292 São Joaquim de Bicas",8
"316294 São José da Barra",5
"316295 São José da Lapa",11
"316300 São José da Safira",2
"316310 São José da Varginha",1
"316330 São José do Divino",7
"316350 São José do Jacuri",1
"316370 São Lourenço",3
"316380 São Miguel do Anta",2
"316410 São Pedro do Suaçuí",1
"316400 São Pedro dos Ferros",12
"316420 São Romão",4
"316430 São Roque de Minas",2
"316450 São Sebastião do Maranhão",1
"316460 São Sebastião do Oeste",1
"316470 São Sebastião do Paraíso",36
"316550 Sardoá",2
"316553 Sarzedo",7
"316556 Sem-Peixe",2
"316557 Senador Amaral",2
"316570 Senador Firmino",3
"316620 Senhora dos Remédios",7
"316630 Sericita",6
"316680 Serra do Salitre",4
"316670 Serra dos Aimorés",16
"316710 Serro",37
"316720 Sete Lagoas",50
"316740 Silvianópolis",1
"316760 Simonésia",10
"316770 Sobrália",6
"316780 Soledade de Minas",2
"316790 Tabuleiro",5
"316800 Taiobeiras",5
"316810 Tapira",2
"316840 Tarumirim",19
"316850 Teixeiras",2
"316860 Teófilo Otoni",71
"316870 Timóteo",13
"316880 Tiradentes",2
"316890 Tiros",3
"316900 Tocantins",11
"316920 Tombos",5
"316930 Três Corações",26
"316935 Três Marias",19
"316940 Três Pontas",1
"316950 Tumiritinga",13
"316960 Tupaciguara",26
"316970 Turmalina",9
"316990 Ubá",76
"317000 Ubaí",3
"317005 Ubaporanga",6
"317010 Uberaba",129
"317020 Uberlândia",534
"317040 Unaí",111
"317043 União de Minas",1
"317050 Urucânia",1
"317052 Urucuia",11
"317057 Vargem Alegre",13
"317065 Vargem Grande do Rio Pardo",1
"317070 Varginha",14
"317075 Varjão de Minas",2
"317080 Várzea da Palma",17
"317100 Vazante",2
"317103 Verdelândia",1
"317115 Vermelho Novo",3
"317120 Vespasiano",10
"317130 Viçosa",8
"317160 Virgem da Lapa",6
"317180 Virginópolis",2
"317190 Virgolândia",3
"317200 Visconde do Rio Branco",35
"317210 Volta Grande",1
"320010 Afonso Cláudio",19
"320016 Água Doce do Norte",39
"320013 Águia Branca",9
"320020 Alegre",9
"320030 Alfredo Chaves",3
"320035 Alto Rio Novo",11
"320040 Anchieta",6
"320050 Apiacá",4
"320060 Aracruz",24
"320070 Atilio Vivacqua",6
"320080 Baixo Guandu",19
"320090 Barra de São Francisco",55
"320100 Boa Esperança",23
"320110 Bom Jesus do Norte",2
"320115 Brejetuba",10
"320120 Cachoeiro de Itapemirim",52
"320130 Cariacica",326
"320140 Castelo",13
"320150 Colatina",43
"320160 Conceição da Barra",33
"320170 Conceição do Castelo",2
"320190 Domingos Martins",24
"320200 Dores do Rio Preto",4
"320210 Ecoporanga",39
"320220 Fundão",16
"320225 Governador Lindenberg",14
"320230 Guaçuí",13
"320240 Guarapari",78
"320245 Ibatiba",11
"320250 Ibiraçu",7
"320255 Ibitirama",4
"320260 Iconha",3
"320265 Irupi",7
"320270 Itaguaçu",19
"320280 Itapemirim",15
"320290 Itarana",5
"320300 Iúna",9
"320305 Jaguaré",70
"320313 João Neiva",2
"320320 Linhares",148
"320330 Mantenópolis",6
"320332 Marataízes",14
"320334 Marechal Floriano",12
"320335 Marilândia",10
"320340 Mimoso do Sul",12
"320350 Montanha",25
"320360 Mucurici",8
"320370 Muniz Freire",25
"320380 Muqui",5
"320390 Nova Venécia",43
"320400 Pancas",35
"320405 Pedro Canário",52
"320410 Pinheiros",31
"320420 Piúma",2
"320425 Ponto Belo",14
"320430 Presidente Kennedy",1
"320435 Rio Bananal",20
"320440 Rio Novo do Sul",2
"320450 Santa Leopoldina",3
"320455 Santa Maria de Jetibá",27
"320460 Santa Teresa",7
"320465 São Domingos do Norte",5
"320470 São Gabriel da Palha",21
"320480 São José do Calçado",7
"320490 São Mateus",108
"320495 São Roque do Canaã",5
"320500 Serra",470
"320501 Sooretama",49
"320503 Vargem Alta",1
"320506 Venda Nova do Imigrante",16
"320510 Viana",125
"320515 Vila Pavão",12
"320517 Vila Valério",16
"320520 Vila Velha",355
"320530 Vitória",212
"330010 Angra dos Reis",90
"330015 Aperibé",7
"330020 Araruama",68
"330022 Areal",5
"330023 Armação dos Búzios",23
"330025 Arraial do Cabo",10
"330030 Barra do Piraí",13
"330040 Barra Mansa",18
"330045 Belford Roxo",221
"330050 Bom Jardim",6
"330060 Bom Jesus do Itabapoana",10
"330070 Cabo Frio",60
"330080 Cachoeiras de Macacu",7
"330090 Cambuci",4
"330100 Campos dos Goytacazes",277
"330110 Cantagalo",4
"330115 Cardoso Moreira",14
"330120 Carmo",4
"330130 Casimiro de Abreu",20
"330140 Conceição de Macabu",8
"330150 Cordeiro",7
"330160 Duas Barras",2
"330170 Duque de Caxias",566
"330185 Guapimirim",65
"330187 Iguaba Grande",12
"330190 Itaboraí",135
"330200 Itaguaí",49
"330205 Italva",7
"330210 Itaocara",6
"330220 Itaperuna",53
"330225 Itatiaia",5
"330227 Japeri",85
"330240 Macaé",59
"330250 Magé",195
"330260 Mangaratiba",18
"330270 Maricá",45
"330280 Mendes",3
"330285 Mesquita",94
"330290 Miguel Pereira",5
"330300 Miracema",2
"330310 Natividade",3
"330320 Nilópolis",33
"330330 Niterói",101
"330340 Nova Friburgo",17
"330350 Nova Iguaçu",440
"330360 Paracambi",34
"330370 Paraíba do Sul",9
"330380 Paraty",21
"330385 Paty do Alferes",5
"330390 Petrópolis",10
"330395 Pinheiral",3
"330400 Piraí",5
"330410 Porciúncula",4
"330411 Porto Real",2
"330412 Quatis",3
"330414 Queimados",77
"330415 Quissamã",12
"330420 Resende",39
"330430 Rio Bonito",23
"330440 Rio Claro",5
"330450 Rio das Flores",1
"330452 Rio das Ostras",38
"330455 Rio de Janeiro",1900
"330460 Santa Maria Madalena",1
"330470 Santo Antônio de Pádua",19
"330480 São Fidélis",18
"330475 São Francisco de Itabapoana",9
"330490 São Gonçalo",387
"330500 São João da Barra",22
"330510 São João de Meriti",194
"330513 São José de Ubá",7
"330515 São José do Vale do Rio Preto",5
"330520 São Pedro da Aldeia",22
"330530 São Sebastião do Alto",3
"330540 Sapucaia",5
"330550 Saquarema",28
"330555 Seropédica",50
"330560 Silva Jardim",15
"330570 Sumidouro",3
"330575 Tanguá",8
"330580 Teresópolis",12
"330600 Três Rios",27
"330610 Valença",4
"330615 Varre-Sai",4
"330620 Vassouras",7
"330630 Volta Redonda",53
"350010 Adamantina",29
"350020 Adolfo",5
"350030 Aguaí",5
"350040 Águas da Prata",1
"350050 Águas de Lindóia",2
"350055 Águas de Santa Bárbara",1
"350060 Águas de São Pedro",1
"350070 Agudos",17
"350090 Altair",1
"350100 Altinópolis",9
"350115 Alumínio",2
"350130 Álvares Machado",26
"350140 Álvaro de Carvalho",1
"350160 Americana",23
"350170 Américo Brasiliense",10
"350180 Américo de Campos",2
"350190 Amparo",33
"350210 Andradina",62
"350220 Angatuba",2
"350230 Anhembi",1
"350240 Anhumas",1
"350250 Aparecida",6
"350260 Aparecida d'Oeste",12
"350270 Apiaí",5
"350280 Araçatuba",79
"350290 Araçoiaba da Serra",1
"350300 Aramina",4
"350320 Araraquara",35
"350330 Araras",11
"350340 Arealva",1
"350360 Areiópolis",2
"350370 Ariranha",16
"350380 Artur Nogueira",8
"350390 Arujá",9
"350400 Assis",17
"350410 Atibaia",14
"350420 Auriflama",19
"350440 Avanhandava",3
"350450 Avaré",8
"350460 Bady Bassitt",11
"350480 Bálsamo",1
"350490 Bananal",1
"350510 Barbosa",1
"350520 Bariri",3
"350530 Barra Bonita",1
"350535 Barra do Chapéu",1
"350540 Barra do Turvo",2
"350550 Barretos",38
"350560 Barrinha",12
"350570 Barueri",43
"350580 Bastos",2
"350590 Batatais",54
"350600 Bauru",58
"350610 Bebedouro",19
"350635 Bertioga",11
"350640 Bilac",3
"350650 Birigui",24
"350660 Biritiba-Mirim",4
"350670 Boa Esperança do Sul",3
"350680 Bocaina",3
"350690 Bofete",4
"350700 Boituva",7
"350710 Bom Jesus dos Perdões",1
"350730 Boracéia",1
"350740 Borborema",1
"350750 Botucatu",12
"350760 Bragança Paulista",35
"350770 Braúna",2
"350780 Brodowski",9
"350790 Brotas",1
"350800 Buri",8
"350810 Buritama",6
"350820 Buritizal",2
"350840 Cabreúva",7
"350850 Caçapava",9
"350860 Cachoeira Paulista",1
"350870 Caconde",1
"350880 Cafelândia",3
"350890 Caiabu",1
"350900 Caieiras",8
"350910 Caiuá",1
"350920 Cajamar",7
"350925 Cajati",13
"350930 Cajobi",4
"350940 Cajuru",15
"350950 Campinas",170
"350960 Campo Limpo Paulista",5
"350970 Campos do Jordão",6
"350980 Campos Novos Paulista",1
"350990 Cananéia",2
"351000 Cândido Mota",8
"351020 Capão Bonito",5
"351030 Capela do Alto",1
"351040 Capivari",10
"351050 Caraguatatuba",57
"351060 Carapicuíba",25
"351070 Cardoso",7
"351080 Casa Branca",5
"351090 Cássia dos Coqueiros",2
"351100 Castilho",16
"351110 Catanduva",38
"351120 Catiguá",4
"351130 Cedral",8
"351140 Cerqueira César",7
"351160 Cesário Lange",2
"351170 Charqueada",6
"355720 Chavantes",4
"351200 Colina",2
"351210 Colômbia",3
"351220 Conchal",9
"351230 Conchas",4
"351240 Cordeirópolis",6
"351250 Coroados",1
"351270 Corumbataí",4
"351280 Cosmópolis",9
"351290 Cosmorama",6
"351300 Cotia",14
"351310 Cravinhos",7
"351320 Cristais Paulista",1
"351340 Cruzeiro",9
"351350 Cubatão",15
"351360 Cunha",3
"351370 Descalvado",1
"351380 Diadema",38
"351385 Dirce Reis",1
"351410 Dois Córregos",1
"351430 Dourado",1
"351440 Dracena",38
"351450 Duartina",1
"351460 Dumont",3
"351470 Echaporã",2
"351480 Eldorado",11
"351490 Elias Fausto",3
"351492 Elisiário",3
"351500 Embu das Artes",19
"351510 Embu-Guaçu",10
"351512 Emilianópolis",1
"351515 Engenheiro Coelho",7
"351518 Espírito Santo do Pinhal",6
"351519 Espírito Santo do Turvo",1
"351520 Estrela d'Oeste",19
"351530 Estrela do Norte",2
"351535 Euclides da Cunha Paulista",3
"351540 Fartura",2
"351550 Fernandópolis",226
"351570 Ferraz de Vasconcelos",25
"351600 Flórida Paulista",3
"351620 Franca",72
"351630 Francisco Morato",14
"351640 Franco da Rocha",21
"351650 Gabriel Monteiro",2
"351660 Gália",1
"351670 Garça",7
"351685 Gavião Peixoto",1
"351690 General Salgado",9
"351700 Getulina",1
"351710 Glicério",1
"351720 Guaiçara",2
"351740 Guaíra",9
"351750 Guapiaçu",5
"351770 Guará",25
"351780 Guaraçaí",3
"351790 Guaraci",1
"351800 Guarani d'Oeste",4
"351810 Guarantã",2
"351820 Guararapes",6
"351830 Guararema",2
"351840 Guaratinguetá",15
"351850 Guareí",2
"351860 Guariba",12
"351870 Guarujá",48
"351880 Guarulhos",122
"351885 Guatapará",9
"351890 Guzolândia",8
"351900 Herculândia",2
"351905 Holambra",6
"351907 Hortolândia",50
"351910 Iacanga",2
"351920 Iacri",2
"351925 Iaras",2
"351930 Ibaté",10
"351940 Ibirá",2
"351950 Ibirarema",1
"351960 Ibitinga",12
"351970 Ibiúna",5
"351980 Icém",3
"351990 Iepê",2
"352000 Igaraçu do Tietê",5
"352010 Igarapava",29
"352020 Igaratá",3
"352030 Iguape",20
"352042 Ilha Comprida",9
"352044 Ilha Solteira",18
"352040 Ilhabela",21
"352050 Indaiatuba",13
"352060 Indiana",5
